yield [thousands of bushels],price [$/bushel]
253.7,3.067
261.43,8.489
249.56,5.474
244.15,10.587
264.34,1.859
245.19,11.45
244.43,1.836
253.77,12.39
255.84,1.736
257.11,5.427
222.0,7.664
206.26,9.191
235.18,4.929
235.98,1.665
253.99,9.649
252.77,3.107
240.51,3.698
271.6,4.829
262.21,4.476
251.25,6.428
257.19,2.643
239.17,2.256
227.24,5.254
243.6,13.894
234.02,2.89
254.23,1.901
261.79,5.051
251.46,5.143
245.59,6.897
252.63,3.977
246.96,10.267
235.97,2.879
256.98,7.395
242.47,10.966
265.55,2.79
241.51,10.626
243.34,10.235
259.35,0.929
242.64,7.302
253.97,12.928
257.37,8.217
233.36,2.855
228.54,7.258
253.37,4.153
245.77,3.484
240.14,9.054
222.01,8.711
262.7,5.155
270.97,14.422
254.34,3.072
251.47,4.986
252.38,6.737
231.17,3.811
200.9,2.719
225.25,4.098
250.66,1.898
258.83,5.8
241.77,13.459
221.95,5.284
240.98,6.741
278.4,6.619
248.75,10.928
247.29,9.572
265.03,7.166
234.21,5.47
264.76,9.677
218.49,6.848
249.94,13.359
250.16,5.418
251.61,5.012
258.71,11.778
250.26,6.983
251.77,6.0
237.85,8.331
254.11,4.489
230.95,5.304
231.77,6.441
248.78,6.304
257.94,3.554
253.87,5.828
260.14,6.4
220.99,7.411
260.96,0.801
224.54,6.325
253.14,7.737
255.65,5.966
233.57,13.234
241.89,8.246
256.3,5.104
230.16,8.431
230.06,7.552
246.62,3.321
223.98,4.738
253.8,3.393
223.02,6.947
226.86,10.679
255.89,9.445
218.58,9.272
213.22,2.639
244.88,3.81
239.2,11.247
228.41,7.184
262.82,9.187
238.78,7.043
207.89,11.286
240.4,5.447
236.02,9.851
255.03,3.524
243.43,8.645
250.28,3.968
227.62,0.844
253.01,7.19
248.29,10.811
241.0,5.621
252.47,0.789
267.97,8.263
237.1,5.982
262.67,5.844
245.04,6.27
258.7,5.45
240.29,5.584
249.86,7.676
257.01,8.681
248.08,6.063
246.93,5.971
217.91,7.209
236.16,0.737
268.36,12.843
229.22,1.466
242.82,11.817
244.8,3.949
245.48,6.418
246.66,11.878
237.85,3.283
228.24,5.663
256.15,2.365
235.46,6.621
255.58,10.9
265.2,8.429
270.74,4.831
234.26,10.822
221.61,10.676
225.45,4.523
246.19,5.841
214.57,8.693
253.6,10.111
253.54,2.046
226.06,3.236
238.96,1.191
260.61,11.96
261.72,7.293
250.71,8.411
274.84,2.86
227.72,2.92
233.68,9.951
212.81,3.489
256.65,4.324
249.08,2.155
261.17,6.319
255.59,4.384
255.9,9.597
252.64,6.508
247.32,8.942
249.38,4.988
228.85,4.953
268.27,4.604
245.64,2.477
239.73,5.762
222.88,5.738
251.33,1.944
231.94,8.806
267.8,8.583
253.22,5.133
223.59,8.017
255.89,5.503
243.59,1.018
259.23,3.445
243.79,11.276
252.15,1.317
254.4,6.348
223.13,4.874
245.39,5.321
253.01,7.481
248.82,4.742
225.3,10.551
263.38,13.706
246.6,8.662
261.75,9.419
261.05,6.25
252.78,7.856
240.39,7.186
208.73,8.439
237.68,2.631
225.41,5.283
257.9,5.156
256.73,5.906
246.06,7.826
204.32,10.026
253.7,9.224
268.02,4.505
248.36,9.622
262.52,8.193
245.62,3.682
243.58,5.432
259.96,0.729
243.31,6.282
234.78,4.828
238.09,9.248
237.64,3.819
222.24,3.685
245.84,8.061
236.23,5.813
261.29,7.689
254.83,7.791
229.87,12.217
261.58,7.039
226.44,4.074
249.04,7.348
249.74,6.809
217.77,11.82
218.68,7.532
256.84,7.951
236.43,3.843
233.62,6.223
246.21,6.461
247.98,4.776
217.92,8.854
236.7,5.131
251.71,9.893
247.43,12.174
246.98,11.465
219.02,8.755
250.02,10.273
246.56,8.612
218.69,8.402
204.09,4.454
230.34,8.081
218.68,12.597
265.03,6.059
247.06,7.366
241.53,6.837
249.32,3.2
242.55,7.337
264.12,5.292
248.18,8.269
225.09,2.598
262.3,9.725
255.12,9.093
243.7,3.329
246.17,0.837
228.53,6.196
260.38,12.301
239.91,9.976
241.19,7.202
242.55,7.018
230.4,3.805
228.83,5.095
217.71,10.236
232.17,12.1
231.44,1.396
226.43,10.445
241.72,11.181
229.12,9.779
245.01,7.626
250.58,7.794
233.33,2.378
233.38,8.292
249.7,0.956
249.84,13.02
263.14,3.042
225.21,5.017
266.59,4.981
239.36,11.056
250.26,5.416
234.12,12.468
253.16,12.233
253.55,6.21
222.48,6.012
218.23,14.535
250.4,2.213
228.83,11.329
226.05,9.46
253.53,1.702
243.36,8.285
229.92,9.282
265.68,3.458
255.92,3.2
251.19,6.531
233.91,5.758
238.89,6.128
236.05,5.516
250.67,13.861
225.6,8.767
223.38,1.758
229.46,8.482
249.67,10.796
254.02,7.701
257.83,0.687
268.99,6.992
233.54,3.177
224.79,5.2
244.38,11.824
246.73,12.319
239.42,7.785
247.37,2.437
237.3,7.518
230.65,7.821
253.62,8.582
247.16,6.182
234.74,3.352
216.24,9.003
236.58,6.993
243.56,1.666
252.38,3.127
250.76,5.64
241.64,11.845
226.27,6.433
230.57,10.412
257.25,2.349
238.44,5.698
255.67,4.095
213.05,5.507
251.67,3.861
251.71,7.254
250.24,11.302
230.42,3.653
220.68,8.062
242.25,8.072
259.03,1.121
251.99,7.997
251.18,6.834
256.11,9.405
231.57,10.92
263.03,12.244
259.69,5.457
224.97,2.557
247.41,8.016
226.35,6.544
247.08,6.876
255.59,13.324
239.26,1.469
248.33,7.296
250.63,8.278
245.02,7.31
235.37,8.472
235.67,10.17
252.87,8.391
244.78,12.067
257.14,3.615
262.13,10.549
241.74,9.727
236.58,4.816
258.78,2.41
234.85,12.815
223.9,4.176
227.01,11.172
239.99,8.082
219.39,8.375
242.08,4.584
243.56,7.163
237.79,7.241
206.21,11.714
251.46,7.435
227.3,10.058
253.39,4.319
238.62,4.936
266.38,11.633
272.96,4.819
238.87,14.329
228.56,6.073
248.34,4.591
244.77,4.111
235.76,6.129
216.72,10.244
236.02,12.354
262.85,6.058
253.77,9.287
220.39,7.456
233.05,5.963
224.24,10.386
259.29,12.089
254.5,6.175
235.88,2.657
244.44,3.323
254.79,6.72
241.39,7.945
265.44,1.778
230.21,10.255
250.68,7.581
236.48,7.605
238.04,7.633
245.25,6.209
265.97,3.038
224.28,5.683
259.42,11.933
254.77,5.754
247.0,3.827
206.0,9.173
252.64,5.765
229.2,7.768
258.5,6.899
233.35,4.26
269.35,10.291
220.54,7.717
269.26,1.944
252.58,8.883
259.43,7.514
255.74,4.902
247.45,8.056
241.84,6.013
229.76,6.556
265.67,10.514
256.59,7.176
257.27,11.875
260.31,1.262
249.23,9.797
234.2,8.164
242.06,5.763
248.92,8.688
241.38,5.701
255.28,11.519
250.28,6.524
237.57,5.146
247.64,3.272
266.04,2.805
270.27,10.009
238.26,5.411
255.47,4.146
270.76,5.159
258.49,6.191
246.03,1.43
247.58,1.539
238.09,3.461
263.24,2.362
247.14,11.651
272.18,4.339
241.53,8.561
208.13,8.913
253.19,5.562
257.94,5.358
224.91,7.498
238.33,11.863
253.1,9.68
252.63,5.531
237.19,10.672
257.13,5.078
263.72,5.429
233.37,8.868
214.61,6.016
246.98,5.845
262.03,13.614
238.45,5.649
229.8,4.655
257.87,9.329
254.17,5.748
232.0,10.844
250.04,8.882
225.75,1.349
254.23,13.865
255.06,6.184
210.58,7.162
250.5,6.131
259.41,11.543
244.92,7.198
241.32,2.188
240.99,12.144
261.33,9.33
266.48,13.196
233.22,6.2
261.74,6.532
237.93,4.219
246.0,7.152
271.61,4.299
248.64,11.914
276.58,5.022
251.44,4.68
236.14,9.938
239.69,8.318
260.82,7.959
240.02,1.919
248.79,4.712
259.14,10.969
234.7,6.452
202.54,12.895
233.68,3.295
259.24,3.807
255.31,13.845
235.77,7.535
262.71,7.317
243.8,5.578
240.54,8.447
255.21,5.178
249.17,7.908
241.18,12.561
247.79,8.926
242.79,10.354
253.72,4.894
223.69,10.054
236.95,6.981
226.88,10.331
244.25,9.865
252.94,11.517
228.01,7.049
240.33,7.306
241.61,6.579
238.18,8.759
249.46,8.59
243.62,7.114
267.02,7.788
217.79,2.599
236.87,3.035
251.81,5.079
240.06,5.289
253.3,3.971
268.31,7.089
240.37,4.693
240.21,11.243
255.96,3.558
221.98,5.175
225.16,5.88
243.52,11.327
252.54,2.981
240.91,12.506
234.33,2.242
252.25,3.964
240.82,3.088
224.63,0.328
252.06,4.851
196.49,4.646
254.74,10.999
260.0,2.692
263.17,5.721
248.13,6.072
256.44,4.701
247.85,6.294
244.9,9.695
225.22,2.549
246.0,7.452
256.73,1.948
235.18,4.549
250.97,9.791
229.83,8.285
231.73,9.036
259.83,3.967
233.8,6.059
224.23,3.106
232.53,4.29
234.78,1.228
222.89,8.362
260.97,7.068
254.18,1.189
255.24,1.481
229.37,8.909
263.22,6.472
234.62,1.105
266.75,10.741
262.98,5.51
261.0,0.838
242.39,4.469
241.62,6.825
249.7,7.696
255.25,6.086
232.16,10.601
243.73,10.345
223.52,2.826
235.16,7.239
247.4,3.979
238.62,5.156
250.43,3.434
254.0,6.373
260.2,5.504
254.09,5.557
225.99,6.769
226.78,11.639
257.16,8.015
220.37,8.774
249.27,8.97
255.93,13.152
241.75,3.863
250.64,8.6
234.57,5.677
265.83,5.405
234.5,6.537
217.12,4.127
278.51,3.044
256.41,7.437
264.53,8.768
251.45,6.168
245.44,8.957
250.26,4.12
237.08,8.102
229.16,3.468
252.15,5.617
217.92,2.936
241.06,12.386
233.96,7.141
233.31,7.676
214.72,6.701
246.29,2.793
250.74,6.95
241.6,7.861
236.53,7.975
258.69,9.039
240.76,4.078
255.88,6.728
245.81,8.667
222.36,8.332
229.0,3.418
262.0,11.458
217.74,7.714
269.51,11.424
223.23,13.271
235.6,12.482
232.16,7.51
264.29,10.856
277.86,10.196
242.76,8.14
242.31,4.123
259.44,10.184
249.08,13.075
245.23,6.449
253.05,8.289
253.47,5.445
258.0,11.489
254.81,5.898
220.19,0.005
235.92,1.292
232.17,13.219
214.6,8.542
257.76,7.175
252.12,12.915
222.98,12.269
254.92,5.648
235.47,7.353
243.0,5.142
247.58,8.84
219.42,3.998
256.02,5.85
269.18,3.209
247.8,4.437
252.37,14.033
254.15,5.216
266.58,5.316
244.21,1.669
260.84,3.817
239.04,3.74
242.65,6.518
234.73,6.113
251.34,7.544
242.38,4.696
237.77,10.885
252.52,5.826
264.33,4.287
233.68,8.834
227.89,9.673
234.78,2.781
258.0,5.358
231.75,9.239
249.71,7.17
259.21,8.249
249.78,7.676
261.08,4.576
224.43,5.743
257.51,2.772
221.94,7.742
228.51,4.195
250.08,9.195
245.57,8.429
235.61,7.349
258.03,3.161
252.21,9.977
233.46,0.708
258.3,7.002
237.93,6.245
250.8,7.851
242.94,4.115
248.94,9.687
235.07,12.13
255.11,4.326
248.11,10.247
262.35,4.754
247.53,7.127
248.89,8.697
258.63,3.42
243.27,0.886
237.11,4.962
240.04,9.873
256.64,5.231
238.98,5.735
250.52,6.655
234.9,5.583
223.14,4.308
207.76,6.868
263.81,4.857
210.12,6.735
231.29,3.996
245.62,6.926
243.68,0.962
233.12,6.6
261.93,5.363
255.54,9.24
254.47,9.542
252.36,4.661
233.38,3.451
234.14,7.303
253.05,4.894
229.97,8.654
249.65,2.391
212.19,5.232
245.68,9.289
243.72,8.555
228.75,6.681
245.04,3.774
259.71,3.454
248.97,5.182
247.95,7.25
239.1,7.613
249.9,11.421
241.18,2.541
244.7,12.864
251.12,5.61
258.47,7.071
256.15,0.231
251.47,3.784
259.36,6.229
255.77,9.098
228.42,1.791
254.05,9.546
260.15,4.549
260.89,11.887
262.55,9.411
239.39,7.923
245.74,8.154
229.03,5.329
245.6,6.95
244.92,9.436
227.05,8.997
244.32,13.294
248.17,9.757
273.8,6.444
265.19,3.678
232.57,5.858
245.72,3.856
247.39,11.631
258.89,8.048
249.98,5.444
259.62,1.723
256.71,7.759
245.13,5.122
241.29,6.636
231.02,2.657
241.55,6.25
228.56,10.202
225.57,12.372
236.49,5.569
264.42,7.344
270.46,6.059
229.68,6.433
250.6,5.724
223.44,10.773
260.8,2.377
242.49,0.885
229.73,12.256
236.23,11.635
238.3,11.167
256.01,6.369
222.41,12.61
229.13,2.812
264.69,9.234
233.46,14.163
241.92,10.235
251.07,3.318
245.89,4.74
235.56,6.707
252.97,10.988
257.75,4.831
246.32,5.091
253.93,7.909
243.32,1.327
259.17,6.731
262.77,11.81
