"yield [thousands of bushels],""price [$/bushel]"""
219.38,5.204
250.42,7.629
250.08,4.85
249.65,9.163
259.68,8.422
250.59,7.618
249.32,4.119
237.7,5.011
253.13,4.893
232.3,9.638
231.45,8.566
249.2,1.335
257.88,4.846
252.19,8.694
261.47,3.989
223.77,6.51
261.26,9.239
222.24,2.37
252.54,9.543
255.82,5.804
233.11,6.748
240.98,7.804
257.38,5.894
231.26,10.558
229.41,10.787
246.29,5.355
225.5,8.033
252.89,6.584
225.17,8.865
227.25,8.341
254.89,6.961
217.16,3.734
212.39,5.053
243.72,8.262
239.63,8.69
227.97,7.592
261.93,8.722
239.92,10.717
208.2,4.7
238.55,6.506
235.53,6.174
254.42,5.604
244.18,6.058
249.42,8.207
228.13,3.624
252.56,9.465
248.9,5.997
242.95,8.447
253.75,7.131
268.93,6.891
235.84,3.612
262.29,7.551
245.74,5.502
259.17,7.781
240.85,6.873
249.44,6.041
255.24,7.511
248.9,6.147
248.02,6.186
218.62,4.278
236.46,5.336
268.1,7.178
229.53,3.909
242.51,7.771
244.16,4.798
245.39,7.729
245.27,7.032
236.56,6.327
229.7,3.342
256.27,2.584
235.39,9.274
256.16,9.479
261.94,6.04
270.8,5.581
234.66,6.691
218.81,6.121
225.32,6.139
246.45,5.801
215.4,4.958
254.13,7.522
253.53,10.063
225.14,7.964
239.31,3.049
261.35,6.289
261.12,4.177
252.25,4.338
274.63,8.158
226.86,7.826
235.18,10.407
212.58,10.226
258.22,4.481
248.78,8.506
260.84,5.55
256.11,1.592
255.42,12.525
251.8,6.029
248.76,4.148
248.5,8.809
227.33,4.445
267.32,6.791
247.54,5.257
239.67,6.515
223.0,8.619
252.32,8.135
230.86,3.646
268.96,7.984
254.56,5.428
224.7,6.045
257.74,7.664
244.62,1.89
257.24,3.532
244.6,5.595
249.57,5.098
254.89,10.437
223.46,4.001
245.71,9.508
252.18,4.733
249.45,4.852
225.32,4.975
266.42,5.452
246.75,6.254
261.09,8.211
260.81,7.403
251.17,6.241
240.6,6.25
210.44,9.172
238.32,6.933
226.27,8.765
256.91,5.051
257.26,6.754
247.16,4.725
203.55,4.319
253.33,9.004
269.57,5.163
249.62,3.206
261.5,7.097
247.0,6.512
244.73,4.862
259.37,7.065
239.68,4.596
235.94,6.901
236.64,5.959
238.63,4.481
221.9,4.267
244.72,8.272
233.83,10.48
261.89,5.019
254.7,6.631
230.34,3.276
263.17,8.309
226.39,1.058
248.47,4.024
249.4,4.941
217.23,5.951
219.34,4.535
254.66,6.285
235.81,8.126
234.32,2.631
249.18,4.805
249.28,2.863
219.8,6.247
233.91,10.288
254.38,5.623
246.87,7.933
247.6,5.205
217.76,3.989
249.06,5.589
248.07,2.821
218.86,4.208
204.04,6.018
230.9,5.158
219.5,6.524
263.24,3.203
248.07,5.791
241.56,8.624
250.36,11.207
244.18,9.153
260.89,1.773
247.02,5.372
227.3,7.315
261.01,5.965
255.11,7.386
244.51,2.368
246.03,7.887
229.88,7.024
260.4,6.46
239.01,6.544
242.07,6.521
242.4,4.66
227.29,3.56
229.08,12.088
217.73,8.676
233.27,6.804
232.19,7.249
227.51,6.241
242.6,6.433
230.03,7.263
242.91,4.924
250.42,5.323
233.94,8.062
233.56,8.308
249.93,9.143
250.49,7.126
262.65,7.855
225.49,6.96
267.57,7.124
240.64,6.94
250.44,10.493
235.31,4.569
252.55,8.116
254.73,6.884
222.8,5.063
218.26,8.152
251.19,7.142
228.66,7.702
226.12,4.008
252.46,5.343
241.96,5.263
230.64,5.198
264.75,5.585
256.42,2.674
250.51,6.566
232.03,4.057
238.9,3.861
236.39,8.181
251.36,9.808
225.19,6.775
223.65,5.538
228.23,8.632
248.68,2.323
253.27,8.1
257.96,5.236
269.14,6.587
233.47,3.62
225.4,3.563
244.55,9.835
247.27,5.045
238.45,7.795
246.6,7.885
237.58,4.695
228.12,3.417
253.76,5.639
246.18,3.98
235.54,2.802
217.38,7.222
235.1,6.598
243.79,3.626
254.0,7.621
249.12,6.169
239.28,5.514
227.3,6.672
230.85,3.955
256.46,7.143
236.92,0.762
251.51,5.886
215.04,7.767
251.47,9.902
252.9,8.546
251.47,4.766
229.34,7.48
222.84,6.572
243.26,6.365
259.01,4.993
253.2,6.806
251.31,6.035
256.38,6.309
233.53,5.269
260.29,4.142
260.39,8.563
226.12,5.471
247.96,5.737
225.21,4.63
247.19,7.239
255.05,7.813
239.98,5.989
249.27,9.067
250.68,9.049
244.56,11.657
234.71,2.128
236.63,11.443
252.51,4.999
245.96,7.447
254.56,4.71
262.51,7.446
242.35,7.489
235.68,5.997
259.12,5.612
234.84,6.002
224.08,4.953
227.84,8.89
240.01,10.563
220.19,4.747
240.96,8.396
245.34,7.491
237.79,4.976
208.74,7.827
249.85,9.441
226.35,3.678
253.14,3.103
237.65,5.05
266.61,5.537
271.6,7.604
238.17,11.249
229.13,6.157
248.83,6.278
245.19,4.643
235.31,6.547
216.52,7.886
238.23,8.57
263.34,5.895
253.46,6.01
219.13,7.0
234.34,9.82
224.24,4.521
259.06,10.182
254.73,7.006
234.8,7.904
244.66,4.887
254.78,8.181
240.55,5.666
264.86,6.012
231.72,4.806
250.72,8.011
237.04,5.403
238.81,9.035
244.26,5.523
265.36,3.578
224.34,7.134
260.58,6.776
254.5,7.142
246.74,8.784
204.54,7.584
252.53,3.526
227.56,8.769
260.41,4.79
234.28,8.448
268.48,2.257
220.33,5.043
268.64,5.678
253.65,9.489
259.31,12.874
254.72,4.356
247.82,7.882
241.49,3.992
230.75,4.875
265.29,6.069
257.16,4.79
256.74,9.576
258.9,7.27
248.53,2.6
233.56,9.084
242.89,10.025
250.31,6.056
241.74,6.563
254.39,6.723
249.46,7.608
236.79,7.643
247.4,8.134
265.74,8.235
272.6,10.218
238.18,4.395
253.33,5.206
270.43,6.276
259.53,5.514
246.1,8.984
248.82,7.159
239.5,6.891
264.44,7.646
247.99,8.608
271.57,5.701
240.66,6.97
208.91,8.016
254.48,7.733
259.01,6.167
227.29,9.788
236.88,4.361
253.86,6.651
253.13,5.606
237.96,5.834
256.02,9.124
265.12,4.441
234.48,6.411
215.91,8.055
246.47,3.71
259.75,3.022
237.72,6.81
227.13,5.001
256.36,4.891
251.6,7.485
232.36,4.975
248.99,5.344
225.51,5.94
253.25,6.798
256.0,6.787
216.37,6.347
250.61,4.055
260.85,7.158
245.88,7.047
243.32,5.918
241.88,7.378
263.06,4.65
266.37,3.393
231.88,6.179
258.99,11.494
238.1,4.12
247.03,6.252
271.68,4.841
249.99,5.163
275.31,7.162
251.81,8.536
236.33,9.924
239.8,7.184
263.23,10.795
239.6,2.77
249.25,8.843
259.2,7.257
234.22,8.269
203.89,10.298
232.59,6.74
260.52,10.925
255.67,6.845
238.34,8.709
262.12,10.958
242.92,5.737
243.5,7.741
255.12,7.534
249.43,6.193
243.61,6.975
249.22,5.198
242.25,7.821
253.44,4.659
222.29,10.094
235.11,5.983
227.57,7.737
245.53,6.737
252.75,5.148
228.5,5.83
239.1,8.827
241.25,4.076
240.06,8.431
249.0,5.22
243.84,2.705
267.02,7.736
217.45,11.071
237.05,9.757
252.85,6.214
240.64,6.437
253.1,8.703
268.5,5.466
239.16,2.266
240.62,3.328
256.31,5.899
221.76,3.461
223.17,9.413
243.47,4.135
250.41,3.577
241.59,7.012
233.46,4.053
251.82,3.711
242.56,5.657
225.58,4.471
252.28,5.467
196.3,5.981
254.68,7.078
260.49,8.136
263.34,4.127
247.03,6.014
255.64,5.458
247.88,8.066
245.66,6.718
226.19,9.793
246.64,6.541
256.51,6.769
235.06,7.442
250.91,7.781
230.11,6.561
232.77,6.0
259.73,5.102
235.32,5.736
223.69,9.066
231.98,6.734
235.3,9.273
223.86,6.138
260.65,9.477
254.4,4.086
253.54,4.656
228.18,4.442
263.75,2.149
235.76,4.379
267.07,6.832
262.48,5.58
259.84,5.923
243.22,8.45
240.26,4.13
250.35,7.053
255.66,10.389
230.07,6.199
244.68,8.231
223.67,4.095
234.99,8.407
248.06,6.251
239.35,6.132
250.52,7.514
255.45,4.072
261.8,6.942
253.15,5.701
224.01,6.361
226.07,5.485
255.72,5.838
219.93,4.15
251.0,10.244
258.8,9.691
242.14,5.173
251.77,5.294
234.04,4.763
263.7,3.293
233.46,7.689
217.02,5.271
277.85,6.685
258.24,4.368
262.74,4.658
251.38,2.866
245.71,11.645
250.64,5.505
235.52,7.487
226.37,5.856
252.3,4.094
217.96,8.765
241.17,9.972
232.87,7.914
234.92,7.623
213.72,6.654
247.2,2.407
250.1,7.247
240.27,9.535
237.75,8.374
258.52,6.577
241.42,5.592
256.58,6.167
245.77,6.167
220.29,11.17
228.54,6.73
261.78,5.89
217.21,5.082
270.4,3.242
223.86,7.218
235.39,6.35
234.17,4.241
265.05,8.335
278.27,4.414
242.49,2.805
241.39,3.927
258.72,3.141
248.41,7.69
244.96,8.614
254.69,11.454
251.21,8.191
255.35,5.652
254.27,3.77
219.68,6.188
235.83,4.52
234.17,8.168
214.27,6.603
256.21,8.16
252.07,6.561
224.07,7.911
255.31,7.152
237.68,9.104
243.77,5.47
248.18,4.885
219.08,9.774
257.62,7.241
268.91,6.126
249.07,6.366
251.37,6.627
254.35,4.472
265.6,5.617
243.73,5.047
261.43,5.634
236.71,5.87
242.03,8.295
234.3,8.746
253.61,5.581
239.51,8.319
237.98,11.432
252.65,7.087
263.84,4.832
233.75,4.559
227.85,5.483
232.54,5.247
256.36,3.75
233.19,5.791
249.26,4.584
260.34,5.667
250.07,8.503
262.24,5.433
223.75,7.595
257.69,8.232
225.01,4.238
230.43,5.699
248.63,8.046
245.71,5.812
234.59,4.963
257.05,3.564
251.89,6.124
231.14,4.218
258.76,8.167
238.17,2.277
251.11,5.726
243.16,7.702
246.27,5.63
236.54,6.138
254.82,7.555
247.58,8.61
260.58,6.214
245.19,7.969
248.19,3.173
258.19,8.096
244.19,7.423
237.15,7.306
238.66,6.313
257.07,7.797
237.43,7.436
249.94,5.658
233.9,10.677
221.47,4.846
207.31,8.884
265.29,4.442
212.13,9.027
230.12,8.443
247.06,6.886
242.88,6.843
231.88,5.959
260.26,12.248
255.22,4.57
255.41,5.611
252.62,3.254
233.28,7.32
234.03,7.685
251.78,3.734
230.01,7.749
249.42,7.828
214.43,8.691
245.59,6.438
244.46,4.738
230.46,7.841
245.67,8.078
259.5,8.903
250.57,4.188
247.85,8.417
239.23,7.679
250.1,6.28
242.37,2.79
244.36,0.349
251.1,5.675
260.29,5.665
257.61,7.89
252.88,5.141
261.19,7.693
252.98,7.932
229.25,6.457
253.6,8.263
260.52,4.459
260.29,9.669
263.56,4.398
238.77,0.883
245.81,6.364
229.04,6.668
245.15,8.705
244.42,7.611
226.16,7.431
245.1,4.751
249.44,8.383
273.82,8.929
263.43,3.826
233.71,8.012
246.57,8.075
248.07,7.106
259.23,8.013
249.46,3.414
259.39,10.405
255.69,9.197
243.97,6.654
240.31,5.246
230.82,4.582
241.21,8.756
228.01,4.876
226.14,7.406
236.19,3.736
263.93,7.507
270.82,6.855
230.59,7.666
248.23,9.206
224.05,5.873
257.27,4.473
244.22,7.395
230.91,5.273
236.53,6.155
238.61,2.809
254.42,2.618
221.9,3.441
228.34,5.98
264.37,4.791
233.34,4.684
241.38,8.615
251.5,3.085
245.9,5.799
236.71,7.494
254.01,5.251
258.96,7.807
247.05,5.927
253.23,6.957
242.14,5.403
259.24,5.875
264.38,9.474
