"yield [thousands of bushels],""price [$/bushel]"""
254.86,4.109
250.24,6.83
252.11,5.834
230.74,5.266
200.72,6.945
225.57,10.174
250.74,5.797
259.22,7.076
241.43,9.927
220.49,5.807
240.96,4.626
278.2,3.065
248.63,5.737
246.79,5.53
265.84,8.305
232.37,8.834
263.71,3.799
218.82,4.801
250.41,7.883
251.13,4.987
249.8,7.531
259.38,7.909
250.55,5.537
249.54,4.565
237.87,4.165
253.02,5.657
231.79,4.14
231.22,7.447
249.21,5.498
257.82,6.147
252.95,9.861
261.84,3.751
223.13,4.524
261.05,8.033
222.64,1.561
251.79,7.311
255.08,7.51
233.78,2.2
241.69,4.007
257.26,5.397
230.92,7.299
229.64,7.988
246.72,7.313
225.2,5.955
253.2,6.202
224.13,4.589
227.23,10.042
255.01,6.838
218.01,6.504
211.78,4.537
243.89,8.712
238.71,8.42
227.89,9.763
262.43,7.614
239.63,4.247
208.41,6.812
238.89,4.219
235.32,6.025
254.38,6.0
244.3,5.826
250.26,10.078
228.21,4.693
253.23,8.052
249.01,4.904
242.11,6.256
253.44,6.306
269.15,6.581
235.53,2.174
263.18,8.529
245.45,5.71
259.04,4.964
240.5,3.318
250.2,6.535
255.47,7.168
248.61,6.523
247.86,9.317
218.39,4.324
236.09,7.601
268.43,5.244
229.91,2.853
243.25,4.846
244.55,5.455
245.38,5.711
245.06,9.766
235.99,7.39
228.09,6.855
256.27,4.907
235.58,6.165
256.82,8.528
262.7,7.571
270.99,3.357
233.7,8.402
219.29,5.092
225.28,7.53
246.54,6.103
216.09,5.433
253.57,5.953
253.82,6.005
225.19,4.267
239.02,6.844
260.27,8.021
261.99,5.542
251.7,6.391
274.34,7.576
227.04,5.175
235.67,6.241
212.36,8.104
258.19,5.387
248.99,7.259
260.76,8.061
255.8,2.145
255.95,8.46
251.94,7.124
248.26,8.037
248.95,8.743
227.47,2.277
267.58,6.52
246.7,4.825
239.19,7.512
223.29,7.21
252.53,7.058
231.24,5.396
268.85,7.56
253.84,4.511
224.59,7.209
257.42,6.115
244.12,3.342
257.99,3.183
244.62,7.371
250.55,3.247
254.25,8.465
223.97,7.108
246.22,7.919
252.91,6.8
249.66,4.228
225.39,5.105
265.58,9.248
245.69,4.234
261.62,5.026
260.66,6.001
251.29,5.978
240.86,6.018
210.2,9.654
238.31,6.137
225.46,9.395
257.43,3.975
257.39,6.47
246.85,7.615
204.29,7.74
253.15,7.361
269.84,6.597
249.32,8.569
262.85,7.59
246.03,3.757
244.49,6.768
259.0,6.169
240.51,5.386
235.2,6.125
237.17,8.061
237.99,9.246
222.38,4.395
244.99,7.332
234.96,7.477
261.57,7.235
254.82,5.205
229.57,7.452
262.17,7.335
226.19,4.252
248.47,6.958
249.82,3.89
217.77,7.295
219.29,8.036
255.29,7.167
236.12,7.099
234.09,5.941
248.3,6.864
248.79,4.725
219.5,9.687
234.04,7.319
253.69,6.355
247.32,8.721
247.52,6.065
217.98,7.383
248.39,5.721
247.92,6.289
218.53,4.536
204.37,6.822
230.92,5.04
219.0,6.463
263.58,5.81
248.64,6.774
241.76,4.96
250.9,8.632
243.1,7.158
260.96,8.024
247.17,4.895
226.99,6.858
261.12,10.169
256.09,7.841
244.5,3.442
245.96,7.562
230.65,5.627
260.67,6.12
239.26,9.297
241.44,5.555
242.22,4.605
227.42,5.524
229.12,8.248
217.93,8.449
233.86,7.26
232.21,4.304
227.35,6.575
242.5,5.643
230.25,8.821
242.48,5.256
250.65,5.933
233.82,6.316
233.59,6.456
249.9,5.116
250.82,7.96
262.4,5.872
224.76,5.992
267.22,6.184
240.44,8.629
250.25,6.701
234.84,5.51
252.85,8.658
253.61,9.4
222.4,5.296
218.39,9.657
250.91,3.054
228.75,7.54
225.95,7.355
252.62,3.657
242.25,6.909
231.03,7.414
264.26,5.723
256.56,1.72
250.9,5.308
232.38,5.141
238.39,5.875
235.98,8.076
250.76,6.601
225.54,6.131
224.31,5.917
228.33,8.574
248.72,6.074
253.37,6.041
257.0,1.891
268.84,6.755
233.36,6.247
225.11,4.968
244.43,6.858
247.15,5.18
238.66,5.858
247.49,6.741
237.12,4.559
228.41,6.723
253.4,2.947
246.66,2.79
235.34,2.323
217.46,7.76
235.25,7.902
243.97,5.823
253.79,7.437
248.81,6.917
240.42,4.368
226.96,7.127
230.4,3.466
256.73,6.658
237.08,4.218
251.66,5.207
214.56,5.115
251.32,7.228
252.4,8.942
251.25,7.455
229.84,8.558
222.41,7.071
242.82,5.223
259.25,2.832
252.52,6.875
251.67,3.583
256.14,6.068
232.8,6.995
260.38,8.397
260.04,10.15
226.57,4.278
247.65,7.026
225.1,5.795
248.11,6.299
254.32,7.157
239.32,8.004
249.39,9.802
250.18,7.77
244.08,6.733
235.14,4.561
236.3,6.364
253.35,5.47
246.11,8.343
255.19,5.582
262.05,5.988
242.52,6.991
235.56,6.565
259.41,7.943
235.29,8.293
223.64,8.322
227.54,7.348
240.31,7.596
220.32,2.76
241.23,8.36
244.77,3.24
237.7,7.988
208.01,5.5
249.94,8.498
226.02,3.831
253.14,6.273
237.72,6.933
266.29,9.389
271.79,5.134
239.17,9.566
229.34,4.89
248.85,8.628
245.37,6.249
235.75,5.767
216.87,8.251
238.09,6.498
263.28,3.606
253.07,7.479
219.18,7.741
234.46,7.013
224.32,5.584
259.09,8.756
254.25,9.459
234.92,8.195
245.39,4.253
255.17,3.814
240.68,6.657
265.08,4.19
231.22,6.421
250.05,4.332
237.18,5.946
238.97,6.198
244.34,5.351
265.25,5.822
224.88,6.533
259.95,7.274
254.24,9.373
246.94,7.877
205.18,8.686
253.0,5.883
227.49,9.161
260.59,6.285
234.43,8.487
268.34,4.588
220.88,5.015
268.99,2.772
253.53,10.98
259.22,11.363
254.92,5.184
247.23,8.712
241.54,3.836
230.78,6.903
265.07,5.128
257.38,7.6
256.87,8.924
258.38,3.291
248.66,6.297
233.09,7.418
242.73,6.815
249.99,6.1
242.45,8.276
254.5,6.141
249.95,4.528
237.16,5.524
247.83,5.365
265.38,7.463
272.37,8.823
238.33,2.711
253.96,4.858
271.23,3.858
258.9,6.56
246.59,5.11
248.77,6.74
239.79,6.117
264.11,8.67
247.51,8.982
271.57,7.14
241.38,6.331
209.74,8.737
254.34,7.257
258.5,7.653
227.0,6.996
237.18,9.445
254.01,4.887
253.27,5.934
238.51,6.048
255.28,9.349
264.73,7.949
234.05,4.939
215.5,10.27
245.91,7.049
260.75,8.099
236.93,7.257
227.53,2.674
256.67,9.526
252.53,7.548
231.17,6.941
249.31,8.969
224.97,2.796
253.25,6.429
255.18,8.1
216.23,6.09
250.49,3.077
261.72,7.747
246.05,6.98
242.54,6.606
241.17,8.605
262.93,8.789
266.67,8.132
232.04,4.153
259.17,7.76
238.25,5.576
246.56,8.63
271.95,3.173
250.07,4.439
275.27,10.267
251.99,7.183
236.7,9.06
240.42,6.434
262.88,6.858
239.65,7.786
248.33,9.781
258.9,7.414
234.44,8.295
203.7,10.152
233.01,8.508
259.28,9.487
254.9,10.46
238.08,5.952
262.23,6.433
242.74,5.135
243.14,6.552
255.12,6.163
248.55,5.668
243.25,7.522
249.58,6.099
243.16,6.814
253.02,3.991
222.53,8.691
235.58,5.52
227.76,4.979
245.54,5.416
253.39,5.294
228.71,4.904
239.7,10.319
241.26,4.979
239.75,7.985
248.88,7.684
242.88,5.106
266.82,9.337
217.95,2.999
236.78,4.556
252.15,5.392
241.35,6.589
252.93,8.003
268.56,6.678
239.2,2.177
240.81,6.334
256.36,7.368
222.85,3.74
223.93,5.205
242.89,4.853
251.1,2.605
241.39,7.066
233.61,7.436
251.73,1.879
241.98,5.461
225.31,5.221
252.13,6.969
197.12,5.199
254.76,6.826
260.4,5.642
263.32,3.773
247.01,5.362
254.67,6.857
248.34,10.339
246.43,5.751
226.47,6.532
246.81,7.307
257.22,8.413
235.16,5.992
250.81,7.805
230.12,5.377
232.45,4.337
259.48,3.654
234.87,6.156
223.63,6.797
231.62,6.537
235.58,5.95
223.44,8.844
261.11,5.816
254.19,4.675
254.6,4.256
227.5,5.974
263.45,5.302
235.91,5.835
267.42,4.22
261.91,4.981
260.03,7.501
243.49,7.877
240.06,5.594
250.3,6.36
255.98,9.446
230.7,7.029
244.05,12.198
223.19,7.537
235.26,7.443
247.01,3.447
238.77,4.607
250.63,5.026
255.18,5.986
261.16,4.513
253.6,4.759
224.55,3.344
225.28,4.733
255.75,6.079
220.68,7.702
250.4,9.593
258.36,7.547
242.16,2.605
251.23,6.738
234.27,6.806
264.3,6.468
233.35,6.815
217.23,5.28
278.17,6.011
258.66,5.82
263.86,7.935
250.78,3.382
245.87,11.233
250.04,4.705
235.73,7.855
226.86,4.667
252.89,7.828
217.48,5.744
241.69,8.002
232.91,4.956
234.25,5.915
214.27,6.572
247.3,5.136
250.01,6.451
240.51,9.891
237.56,10.077
258.69,6.253
241.13,5.45
256.92,5.913
245.49,7.52
221.27,10.571
228.71,5.697
261.54,8.544
217.21,6.293
270.43,6.244
223.76,9.666
235.18,6.512
234.26,7.755
265.33,8.054
277.74,2.088
242.7,5.469
241.6,8.876
258.8,5.581
248.17,9.011
245.55,6.939
254.25,9.588
251.83,6.97
255.48,4.994
254.15,8.806
219.74,5.958
236.33,3.158
232.82,6.344
214.66,4.091
256.07,7.307
251.94,6.679
223.78,4.284
255.65,5.851
237.58,8.951
243.71,6.397
248.39,7.581
219.77,7.242
256.89,7.93
268.6,8.518
248.5,7.499
252.11,6.999
253.79,5.85
265.93,7.001
243.63,6.102
261.31,6.0
237.08,5.646
241.5,5.35
234.96,7.675
253.41,5.461
239.63,7.881
237.98,10.557
252.92,5.685
265.16,5.345
233.41,3.181
227.47,5.828
233.35,5.415
257.38,3.459
232.65,7.82
249.08,5.538
259.89,8.224
251.45,6.838
262.2,8.313
222.96,7.47
257.79,7.513
224.6,3.386
230.24,5.163
248.68,8.72
245.59,8.931
234.26,5.633
257.0,5.341
251.4,6.542
231.81,8.893
258.36,6.844
237.46,5.193
250.94,6.778
242.96,7.285
246.78,6.756
236.82,3.17
254.43,6.209
246.99,8.438
261.67,5.322
245.77,4.703
247.99,6.09
258.14,4.504
244.2,4.674
237.51,7.524
238.59,8.321
257.14,7.436
237.56,7.805
249.36,5.015
233.62,9.587
221.4,7.716
207.83,7.293
264.68,3.873
211.67,5.942
229.97,5.923
247.07,8.575
242.77,5.465
233.14,4.585
261.39,6.378
254.97,6.996
255.38,7.327
252.64,5.281
233.99,9.442
233.57,4.948
252.23,6.043
230.59,10.598
249.76,7.038
214.19,7.801
246.18,6.178
243.59,5.347
230.48,4.803
245.0,9.953
259.73,3.789
250.13,3.851
246.8,8.054
239.66,7.841
249.78,7.677
241.98,4.018
244.67,5.185
251.65,3.693
260.44,2.479
257.67,2.029
252.63,6.722
261.6,9.472
253.11,6.158
229.39,7.155
253.41,4.829
260.78,5.123
260.53,8.997
263.49,8.886
238.77,4.073
245.77,6.804
229.21,2.439
245.16,4.822
244.56,8.021
226.23,6.041
245.62,7.716
249.42,5.634
273.86,5.825
264.17,3.29
232.92,4.234
246.3,8.61
247.69,6.436
259.13,7.062
249.16,6.792
259.05,10.682
255.76,9.65
244.27,5.481
240.26,5.625
230.66,7.072
240.92,9.912
228.14,10.056
226.68,8.108
236.27,6.434
264.51,4.049
270.94,7.42
230.16,6.248
248.65,8.758
223.89,5.615
258.52,6.296
243.9,5.699
230.93,4.953
236.8,8.564
238.06,5.381
254.63,4.252
222.17,3.585
228.12,7.72
265.11,7.789
233.87,4.693
241.03,10.977
251.53,4.872
246.23,6.876
237.02,4.536
254.05,5.639
259.02,3.835
246.38,4.579
253.58,6.767
242.81,6.918
259.14,6.701
263.7,7.126
