,yield [thousands of bushels],price [$/bushel],total
57,226.02,7.582,1713683.64
58,235.57,5.427,1278438.39
59,245.94,6.934,1705347.96
60,255.84,6.827,1746619.68
61,253.28,7.445,1885669.6
62,224.91,7.388,1661635.08
63,266.26,6.919,1842252.94
64,237.28,8.451,2005253.28
65,247.18,7.897,1951980.4600000002
66,262.1,8.826,2313294.6
67,230.67,5.137,1184951.7899999998
68,253.07,3.233,818175.3099999999
69,225.16,7.919,1783042.0399999998
70,237.28,8.639,2049861.92
71,246.74,8.846,2182662.04
72,241.95,5.731,1386615.45
73,256.74,5.389,1383571.86
74,250.38,2.8,701064.0
75,234.69,5.361,1258173.09
76,224.35,5.651,1267801.8499999999
77,228.53,7.95,1816813.5
78,245.01,5.578,1366665.78
79,257.21,6.477,1665949.17
80,257.6,4.516,1163321.6000000003
81,249.64,6.518,1627153.5199999998
82,220.22,8.136,1791709.9199999997
83,221.31,4.296,950747.7600000001
84,237.07,4.442,1053064.94
85,245.68,5.958,1463761.44
86,233.91,6.685,1563688.3499999999
87,242.2,7.544,1827156.7999999998
88,245.79,5.555,1365363.4499999997
89,242.14,4.52,1094472.7999999998
90,222.87,6.164,1373770.68
91,272.84,7.884,2151070.56
92,254.94,5.749,1465650.06
93,248.87,4.079,1015140.73
94,236.11,8.412,1986157.3200000003
95,213.0,11.042,2351946.0
96,252.53,9.363,2364438.3899999997
97,254.09,5.264,1337529.76
98,257.26,6.686,1720040.3599999999
99,252.64,5.257,1328128.4799999997
100,226.24,7.195,1627796.8
101,278.86,9.299,2593119.1399999997
102,231.78,6.438,1492199.6400000001
103,269.31,6.616,1781754.96
104,254.86,5.353,1364265.58
105,227.64,9.031,2055816.8399999999
106,270.53,5.721,1547702.13
107,238.52,4.663,1112218.7600000002
108,246.02,5.304,1304890.08
109,270.26,3.832,1035636.3199999998
110,234.58,7.248,1700235.84
111,255.23,3.99,1018367.7000000001
112,230.92,6.525,1506753.0
113,243.41,5.819,1416402.7899999998
114,250.39,8.294,2076734.6600000001
115,242.42,9.687,2348322.5399999996
116,214.74,7.27,1561159.7999999998
117,243.02,9.901,2406141.02
118,246.87,10.438,2576829.06
119,224.58,4.899,1100217.4200000002
120,260.29,8.088,2105225.52
121,261.59,3.091,808574.69
122,244.73,7.568,1852116.6399999997
123,233.87,4.98,1164672.6
124,250.11,2.214,553743.54
125,252.0,7.621,1920492.0000000002
126,240.69,6.35,1528381.5
127,272.24,2.209,601378.1600000001
128,248.45,5.884,1461879.8
129,270.26,5.254,1419946.0399999998
130,244.81,4.709,1152810.2899999998
131,258.61,6.502,1681482.2200000002
132,243.48,6.531,1590167.88
133,240.89,8.763,2110919.07
134,258.39,8.659,2237399.0100000002
135,254.98,6.877,1753497.4599999997
136,252.88,6.408,1620455.04
137,220.1,5.157,1135055.7
138,244.32,7.886,1926707.52
139,253.1,7.272,1840543.2000000002
140,258.3,3.445,889843.5
141,229.97,6.259,1439382.2300000002
142,234.37,5.226,1224817.62
143,232.01,9.252,2146556.52
144,240.93,7.264,1750115.52
145,252.65,3.851,972955.15
146,260.36,6.12,1593403.2000000002
147,252.67,5.477,1383873.5899999999
148,252.33,10.047,2535159.5100000002
149,265.09,5.99,1587889.0999999999
150,260.92,7.051,1839746.9200000002
151,229.98,6.275,1443124.5000000002
152,252.65,5.555,1403470.75
153,255.91,6.369,1629890.79
154,263.94,8.398,2216568.12
155,242.0,7.139,1727638.0000000002
156,257.03,9.784,2514781.52
157,243.55,6.753,1644693.1500000001
158,249.31,5.919,1475665.89
159,267.62,6.084,1628200.0799999998
160,227.9,5.806,1323187.4000000001
161,229.4,5.274,1209855.6
162,234.1,8.005,1873970.5000000002
163,250.01,4.893,1223298.93
164,264.91,11.901,3152693.9100000006
165,243.81,6.775,1651812.75
166,265.86,4.119,1095077.34
167,247.51,8.608,2130566.08
168,251.49,6.908,1737292.9200000002
169,260.94,6.341,1654620.54
170,261.58,2.287,598233.46
171,208.59,7.395,1542523.05
172,220.4,4.706,1037202.4000000001
173,221.07,3.3,729531.0
174,241.03,9.606,2315334.1799999997
175,247.22,5.763,1424728.8599999999
176,213.84,2.818,602601.12
177,209.88,8.357,1753967.16
178,230.23,5.397,1242551.31
179,243.74,7.334,1787589.16
180,240.82,6.909,1663825.38
181,240.17,5.566,1336786.22
182,240.31,7.446,1789348.26
183,256.01,5.545,1419575.4499999997
184,247.5,6.14,1519649.9999999998
185,241.19,7.874,1899130.06
186,238.3,7.912,1885429.6
187,249.74,6.962,1738689.88
188,254.51,8.978,2284990.78
189,204.21,3.156,644486.76
190,240.49,9.257,2226215.9299999997
191,254.61,4.903,1248352.83
192,243.19,4.121,1002185.9900000001
193,226.04,7.136,1613021.44
194,263.82,4.914,1296411.48
195,232.62,3.786,880699.3200000001
196,257.83,9.596,2474136.68
197,239.56,5.493,1315903.08
198,237.25,7.32,1736670.0
199,254.63,6.638,1690233.94
200,233.63,3.107,725888.41
201,215.61,7.223,1557351.03
202,270.75,5.429,1469901.75
203,255.46,4.645,1186611.7
204,232.31,7.082,1645219.42
205,255.57,6.399,1635392.43
206,256.37,7.041,1805101.1700000002
207,244.26,8.546,2087445.9599999995
208,257.72,5.98,1541165.6000000003
209,236.53,3.185,753348.05
210,258.31,4.872,1258486.32
211,261.47,6.17,1613269.9000000001
212,222.31,7.705,1712898.55
213,255.87,7.843,2006788.4100000001
214,253.02,7.896,1997845.92
215,263.87,5.741,1514877.67
216,263.51,8.099,2134167.4899999998
217,237.77,6.807,1618500.3900000001
218,262.19,5.54,1452532.6
219,253.4,4.268,1081511.2
220,260.31,5.795,1508496.4500000002
221,250.51,7.262,1819203.6199999999
222,242.12,8.586,2078842.3200000003
223,263.13,4.424,1164087.12
224,244.98,6.827,1672478.4599999997
225,244.5,5.892,1440594.0
226,254.1,7.839,1991889.9000000001
227,257.47,10.729,2762395.63
228,257.16,5.879,1511843.6400000001
229,222.46,6.839,1521403.9400000002
230,205.6,1.566,321969.60000000003
231,235.36,5.66,1332137.6
232,235.6,5.703,1343626.8
233,254.42,8.748,2225666.1599999997
234,250.65,5.996,1502897.4000000001
235,241.51,1.81,437133.10000000003
236,271.13,5.694,1543814.22
237,261.7,7.226,1891044.1999999997
238,250.02,8.703,2175924.06
239,257.06,5.684,1461129.04
240,239.58,8.998,2155740.84
241,230.41,5.676,1307807.1600000001
242,243.29,9.051,2202017.79
243,234.14,7.724,1808497.3599999999
244,253.24,4.884,1236824.1600000001
245,262.4,5.336,1400166.4000000001
246,249.81,8.754,2186836.7399999998
247,246.17,6.897,1697834.49
248,253.33,8.214,2080852.62
249,247.36,10.62,2626963.2
250,232.97,7.94,1849781.8
251,257.32,6.053,1557557.96
252,241.74,8.192,1980334.08
253,267.71,5.205,1393430.5499999998
254,243.17,8.237,2002991.29
255,244.29,7.492,1830220.68
256,259.17,4.233,1097066.61
257,242.26,8.022,1943409.72
258,253.79,7.667,1945807.93
259,257.1,8.487,2182007.7
260,233.55,3.972,927660.6000000001
261,229.43,7.522,1725772.4600000002
262,253.13,5.819,1472963.47
263,245.56,4.469,1097407.6400000001
264,240.22,6.691,1607312.0199999998
265,220.57,7.052,1555459.64
266,263.29,4.623,1217189.6700000002
267,269.51,9.142,2463860.42
268,254.86,4.109,1047219.74
269,250.24,6.83,1709139.2000000002
270,252.11,5.834,1470809.74
271,230.74,5.266,1215076.8399999999
272,200.72,6.945,1394000.4000000001
273,225.57,10.174,2294949.1799999997
274,250.74,5.797,1453539.78
275,259.22,7.076,1834240.72
276,241.43,9.927,2396675.61
277,220.49,5.807,1280385.43
278,240.96,4.626,1114680.9600000002
279,278.2,3.065,852683.0
280,248.63,5.737,1426390.31
281,246.79,5.53,1364748.7000000002
282,265.84,8.305,2207801.1999999997
283,232.37,8.834,2052756.5799999998
284,263.71,3.799,1001834.2899999999
285,218.82,4.801,1050554.82
286,250.41,7.883,1973982.0299999998
287,251.13,4.987,1252385.3099999998
288,249.8,7.531,1881243.8
289,259.38,7.909,2051436.42
290,250.55,5.537,1387295.35
291,249.54,4.565,1139150.1
292,237.87,4.165,990728.55
293,253.02,5.657,1431334.1400000001
294,231.79,4.14,959610.5999999999
295,231.22,7.447,1721895.34
296,249.21,5.498,1370156.58
297,257.82,6.147,1584819.54
298,252.95,9.861,2494339.95
299,261.84,3.751,982161.8399999999
300,223.13,4.524,1009440.12
301,261.05,8.033,2097014.6500000001
302,222.64,1.561,347541.04
303,251.79,7.311,1840836.69
304,255.08,7.51,1915650.8
305,233.78,2.2,514316.00000000006
306,241.69,4.007,968451.8299999998
307,257.26,5.397,1388432.22
308,230.92,7.299,1685485.0799999998
309,229.64,7.988,1834364.3199999998
310,246.72,7.313,1804263.3599999999
311,225.2,5.955,1341066.0
312,253.2,6.202,1570346.4
313,224.13,4.589,1028532.5700000001
314,227.23,10.042,2281843.66
315,255.01,6.838,1743758.38
316,218.01,6.504,1417937.0399999998
317,211.78,4.537,960845.86
318,243.89,8.712,2124769.6799999997
319,238.71,8.42,2009938.2
320,227.89,9.763,2224890.07
321,262.43,7.614,1998142.02
322,239.63,4.247,1017708.6099999999
323,208.41,6.812,1419688.9200000002
324,238.89,4.219,1007876.91
325,235.32,6.025,1417803.0
326,254.38,6.0,1526280.0
327,244.3,5.826,1423291.8
328,250.26,10.078,2522120.28
329,228.21,4.693,1070989.53
330,253.23,8.052,2039007.96
331,249.01,4.904,1221145.0399999998
332,242.11,6.256,1514640.1600000001
333,253.44,6.306,1598192.64
334,269.15,6.581,1771276.15
335,235.53,2.174,512042.22000000003
336,263.18,8.529,2244662.22
337,245.45,5.71,1401519.4999999998
338,259.04,4.964,1285874.5600000003
339,240.5,3.318,797979.0
340,250.2,6.535,1635057.0
341,255.47,7.168,1831208.96
342,248.61,6.523,1621683.03
343,247.86,9.317,2309311.62
344,218.39,4.324,944318.3599999999
345,236.09,7.601,1794520.09
346,268.43,5.244,1407646.92
347,229.91,2.853,655933.23
348,243.25,4.846,1178789.5
349,244.55,5.455,1334020.25
350,245.38,5.711,1401365.18
351,245.06,9.766,2393255.96
352,235.99,7.39,1743966.1
353,228.09,6.855,1563556.9500000002
354,256.27,4.907,1257516.89
355,235.58,6.165,1452350.7000000002
356,256.82,8.528,2190160.96
357,262.7,7.571,1988901.7
358,270.99,3.357,909713.4300000002
359,233.7,8.402,1963547.3999999997
360,219.29,5.092,1116624.68
361,225.28,7.53,1696358.4000000001
362,246.54,6.103,1504633.6199999999
363,216.09,5.433,1174016.97
364,253.57,5.953,1509502.2100000002
365,253.82,6.005,1524189.0999999999
366,225.19,4.267,960885.7300000001
367,239.02,6.844,1635852.8800000001
368,260.27,8.021,2087625.67
369,261.99,5.542,1451948.58
370,251.7,6.391,1608614.7
371,274.34,7.576,2078399.8399999996
372,227.04,5.175,1174932.0
373,235.67,6.241,1470816.4699999997
374,212.36,8.104,1720965.44
375,258.19,5.387,1390869.53
376,248.99,7.259,1807418.4100000001
377,260.76,8.061,2101986.36
378,255.8,2.145,548691.0
379,255.95,8.46,2165337.0
380,251.94,7.124,1794820.5599999998
381,248.26,8.037,1995265.62
382,248.95,8.743,2176569.8499999996
383,227.47,2.277,517949.19000000006
384,267.58,6.52,1744621.5999999996
385,246.7,4.825,1190327.5
386,239.19,7.512,1796795.2799999998
387,223.29,7.21,1609920.9
388,252.53,7.058,1782356.74
389,231.24,5.396,1247771.04
390,268.85,7.56,2032506.0
391,253.84,4.511,1145072.24
392,224.59,7.209,1619069.3099999998
393,257.42,6.115,1574123.3000000003
394,244.12,3.342,815849.04
395,257.99,3.183,821182.1699999999
396,244.62,7.371,1803094.0200000003
397,250.55,3.247,813535.85
398,254.25,8.465,2152226.25
399,223.97,7.108,1591978.76
400,246.22,7.919,1949816.1799999997
401,252.91,6.8,1719788.0
402,249.66,4.228,1055562.4799999997
403,225.39,5.105,1150615.9500000002
404,265.58,9.248,2456083.84
405,245.69,4.234,1040251.46
406,261.62,5.026,1314902.1199999999
407,260.66,6.001,1564220.6600000001
408,251.29,5.978,1502211.6199999999
409,240.86,6.018,1449495.48
410,210.2,9.654,2029270.7999999998
411,238.31,6.137,1462508.47
412,225.46,9.395,2118196.7
413,257.43,3.975,1023284.25
414,257.39,6.47,1665313.2999999998
415,246.85,7.615,1879762.75
416,204.29,7.74,1581204.6
417,253.15,7.361,1863437.15
418,269.84,6.597,1780134.48
419,249.32,8.569,2136423.08
420,262.85,7.59,1995031.5
421,246.03,3.757,924334.7100000001
422,244.49,6.768,1654708.32
423,259.0,6.169,1597771.0
424,240.51,5.386,1295386.86
425,235.2,6.125,1440600.0
426,237.17,8.061,1911827.3699999999
427,237.99,9.246,2200455.5400000005
428,222.38,4.395,977360.0999999999
429,244.99,7.332,1796266.68
430,234.96,7.477,1756795.92
431,261.57,7.235,1892458.95
432,254.82,5.205,1326338.0999999999
433,229.57,7.452,1710755.64
434,262.17,7.335,1923016.9500000002
435,226.19,4.252,961759.88
436,248.47,6.958,1728854.26
437,249.82,3.89,971799.8
438,217.77,7.295,1588632.1500000001
439,219.29,8.036,1762214.4399999997
440,255.29,7.167,1829663.43
441,236.12,7.099,1676215.88
442,234.09,5.941,1390728.69
443,248.3,6.864,1704331.2000000002
444,248.79,4.725,1175532.7499999998
445,219.5,9.687,2126296.5
446,234.04,7.319,1712938.76
447,253.69,6.355,1612199.9500000002
448,247.32,8.721,2156877.7199999997
449,247.52,6.065,1501208.8
450,217.98,7.383,1609346.3399999999
451,248.39,5.721,1421039.19
452,247.92,6.289,1559168.88
453,218.53,4.536,991252.0799999998
454,204.37,6.822,1394212.1400000001
455,230.92,5.04,1163836.8
456,219.0,6.463,1415397.0
457,263.58,5.81,1531399.7999999998
458,248.64,6.774,1684287.3599999999
459,241.76,4.96,1199129.6
460,250.9,8.632,2165768.8
461,243.1,7.158,1740109.8
462,260.96,8.024,2093943.0399999996
463,247.17,4.895,1209897.1499999997
464,226.99,6.858,1556697.42
465,261.12,10.169,2655329.2800000003
466,256.09,7.841,2008001.6899999997
467,244.5,3.442,841569.0000000001
468,245.96,7.562,1859949.52
469,230.65,5.627,1297867.55
470,260.67,6.12,1595300.4000000001
471,239.26,9.297,2224400.22
472,241.44,5.555,1341199.2
473,242.22,4.605,1115423.1
474,227.42,5.524,1256268.0799999998
475,229.12,8.248,1889781.7599999998
476,217.93,8.449,1841290.57
477,233.86,7.26,1697823.5999999999
478,232.21,4.304,999431.8400000001
479,227.35,6.575,1494826.25
480,242.5,5.643,1368427.5
481,230.25,8.821,2031035.25
482,242.48,5.256,1274474.88
483,250.65,5.933,1487106.45
484,233.82,6.316,1476807.1199999999
485,233.59,6.456,1508057.04
486,249.9,5.116,1278488.4
487,250.82,7.96,1996527.2
488,262.4,5.872,1540812.7999999998
489,224.76,5.992,1346761.92
490,267.22,6.184,1652488.4800000002
491,240.44,8.629,2074756.7599999998
492,250.25,6.701,1676925.25
493,234.84,5.51,1293968.4
494,252.85,8.658,2189175.3
495,253.61,9.4,2383934.0
496,222.4,5.296,1177830.4000000001
497,218.39,9.657,2108992.23
498,250.91,3.054,766279.14
499,228.75,7.54,1724775.0
500,225.95,7.355,1661862.25
501,252.62,3.657,923831.3400000001
502,242.25,6.909,1673705.25
503,231.03,7.414,1712856.42
504,264.26,5.723,1512359.98
505,256.56,1.72,441283.2
506,250.9,5.308,1331777.2
507,232.38,5.141,1194665.58
508,238.39,5.875,1400541.25
509,235.98,8.076,1905774.48
510,250.76,6.601,1655266.76
511,225.54,6.131,1382785.74
512,224.31,5.917,1327242.27
513,228.33,8.574,1957701.4200000002
514,248.72,6.074,1510725.2799999998
515,253.37,6.041,1530608.1700000002
516,257.0,1.891,485987.0
517,268.84,6.755,1816014.2
518,233.36,6.247,1457799.9200000002
519,225.11,4.968,1118346.4800000002
520,244.43,6.858,1676300.94
521,247.15,5.18,1280236.9999999998
522,238.66,5.858,1398070.2799999998
523,247.49,6.741,1668330.0899999999
524,237.12,4.559,1081030.08
525,228.41,6.723,1535600.43
526,253.4,2.947,746769.8
527,246.66,2.79,688181.4
528,235.34,2.323,546694.8200000001
529,217.46,7.76,1687489.6
530,235.25,7.902,1858945.5
531,243.97,5.823,1420637.31
532,253.79,7.437,1887436.23
533,248.81,6.917,1721018.77
534,240.42,4.368,1050154.56
535,226.96,7.127,1617543.9200000002
536,230.4,3.466,798566.4
537,256.73,6.658,1709308.3400000003
538,237.08,4.218,1000003.4400000001
539,251.66,5.207,1310393.62
540,214.56,5.115,1097474.4000000001
541,251.32,7.228,1816540.9599999997
542,252.4,8.942,2256960.8000000003
543,251.25,7.455,1873068.75
544,229.84,8.558,1966970.72
545,222.41,7.071,1572661.11
546,242.82,5.223,1268248.8599999999
547,259.25,2.832,734195.9999999999
548,252.52,6.875,1736075.0
549,251.67,3.583,901733.61
550,256.14,6.068,1554257.5199999998
551,232.8,6.995,1628436.0000000002
552,260.38,8.397,2186410.86
553,260.04,10.15,2639406.0000000005
554,226.57,4.278,969266.4599999998
555,247.65,7.026,1739988.9000000001
556,225.1,5.795,1304454.5
557,248.11,6.299,1562844.8900000001
558,254.32,7.157,1820168.24
559,239.32,8.004,1915517.2799999998
560,249.39,9.802,2444520.78
561,250.18,7.77,1943898.6
562,244.08,6.733,1643390.6400000001
563,235.14,4.561,1072473.54
564,236.3,6.364,1503813.2
565,253.35,5.47,1385824.5
566,246.11,8.343,2053295.7300000002
567,255.19,5.582,1424470.5799999998
568,262.05,5.988,1569155.4000000001
569,242.52,6.991,1695457.32
570,235.56,6.565,1546451.4000000001
571,259.41,7.943,2060493.63
572,235.29,8.293,1951259.9699999997
573,223.64,8.322,1861132.0799999996
574,227.54,7.348,1671963.92
575,240.31,7.596,1825394.7600000002
576,220.32,2.76,608083.2
577,241.23,8.36,2016682.7999999998
578,244.77,3.24,793054.8000000002
579,237.7,7.988,1898747.5999999999
580,208.01,5.5,1144054.9999999998
581,249.94,8.498,2123990.12
582,226.02,3.831,865882.62
583,253.14,6.273,1587947.2199999997
584,237.72,6.933,1648112.76
585,266.29,9.389,2500196.81
586,271.79,5.134,1395369.8600000003
587,239.17,9.566,2287900.22
588,229.34,4.89,1121472.6
589,248.85,8.628,2147077.8
590,245.37,6.249,1533317.13
591,235.75,5.767,1359570.25
592,216.87,8.251,1789394.3699999999
593,238.09,6.498,1547108.82
594,263.28,3.606,949387.6799999998
595,253.07,7.479,1892710.53
596,219.18,7.741,1696672.38
597,234.46,7.013,1644267.98
598,224.32,5.584,1252602.88
599,259.09,8.756,2268592.04
600,254.25,9.459,2404950.75
601,234.92,8.195,1925169.4
602,245.39,4.253,1043643.6699999999
603,255.17,3.814,973218.3799999999
604,240.68,6.657,1602206.76
605,265.08,4.19,1110685.2000000002
606,231.22,6.421,1484663.62
607,250.05,4.332,1083216.5999999999
608,237.18,5.946,1410272.2799999998
609,238.97,6.198,1481136.06
610,244.34,5.351,1307463.34
611,265.25,5.822,1544285.5
612,224.88,6.533,1469141.04
613,259.95,7.274,1890876.2999999998
614,254.24,9.373,2382991.52
615,246.94,7.877,1945146.38
616,205.18,8.686,1782193.4800000002
617,253.0,5.883,1488399.0
618,227.49,9.161,2084035.8900000001
619,260.59,6.285,1637808.15
620,234.43,8.487,1989607.4100000001
621,268.34,4.588,1231143.92
622,220.88,5.015,1107713.2
623,268.99,2.772,745640.2799999999
624,253.53,10.98,2783759.4
625,259.22,11.363,2945516.8600000003
626,254.92,5.184,1321505.28
627,247.23,8.712,2153867.76
628,241.54,3.836,926547.44
629,230.78,6.903,1593074.3399999999
630,265.07,5.128,1359278.9600000002
631,257.38,7.6,1956088.0
632,256.87,8.924,2292307.88
633,258.38,3.291,850328.58
634,248.66,6.297,1565812.0199999998
635,233.09,7.418,1729061.6199999999
636,242.73,6.815,1654204.95
637,249.99,6.1,1524939.0
638,242.45,8.276,2006516.1999999997
639,254.5,6.141,1562884.5
640,249.95,4.528,1131773.5999999999
641,237.16,5.524,1310071.84
642,247.83,5.365,1329607.9500000002
643,265.38,7.463,1980530.94
644,272.37,8.823,2403120.5100000002
645,238.33,2.711,646112.63
646,253.96,4.858,1233737.68
647,271.23,3.858,1046405.34
648,258.9,6.56,1698383.9999999998
649,246.59,5.11,1260074.9000000001
650,248.77,6.74,1676709.8
651,239.79,6.117,1466795.43
652,264.11,8.67,2289833.7
653,247.51,8.982,2223134.82
654,271.57,7.14,1939009.7999999998
655,241.38,6.331,1528176.78
656,209.74,8.737,1832498.38
657,254.34,7.257,1845745.38
658,258.5,7.653,1978300.4999999998
659,227.0,6.996,1588092.0
660,237.18,9.445,2240165.1
661,254.01,4.887,1241346.8699999999
662,253.27,5.934,1502904.18
663,238.51,6.048,1442508.48
664,255.28,9.349,2386612.72
665,264.73,7.949,2104338.7700000005
666,234.05,4.939,1155972.9500000002
667,215.5,10.27,2213185.0
668,245.91,7.049,1733419.59
669,260.75,8.099,2111814.25
670,236.93,7.257,1719401.01
671,227.53,2.674,608415.22
672,256.67,9.526,2445038.4200000004
673,252.53,7.548,1906096.44
674,231.17,6.941,1604550.9699999997
675,249.31,8.969,2236061.3899999997
676,224.97,2.796,629016.12
677,253.25,6.429,1628144.25
678,255.18,8.1,2066958.0
679,216.23,6.09,1316840.7
680,250.49,3.077,770757.73
681,261.72,7.747,2027544.8400000003
682,246.05,6.98,1717429.0
683,242.54,6.606,1602219.24
684,241.17,8.605,2075267.85
685,262.93,8.789,2310891.77
686,266.67,8.132,2168560.4400000004
687,232.04,4.153,963662.1199999999
688,259.17,7.76,2011159.2
689,238.25,5.576,1328482.0
690,246.56,8.63,2127812.8000000003
691,271.95,3.173,862897.35
692,250.07,4.439,1110060.73
693,275.27,10.267,2826197.09
694,251.99,7.183,1810044.1700000002
695,236.7,9.06,2144502.0
696,240.42,6.434,1546862.28
697,262.88,6.858,1802831.0399999998
698,239.65,7.786,1865914.9
699,248.33,9.781,2428915.73
700,258.9,7.414,1919484.5999999999
701,234.44,8.295,1944679.7999999998
702,203.7,10.152,2067962.4
703,233.01,8.508,1982449.0799999996
704,259.28,9.487,2459789.36
705,254.9,10.46,2666254.0000000005
706,238.08,5.952,1417052.16
707,262.23,6.433,1686925.59
708,242.74,5.135,1246469.9000000001
709,243.14,6.552,1593053.2799999998
710,255.12,6.163,1572304.56
711,248.55,5.668,1408781.4000000001
712,243.25,7.522,1829726.5
713,249.58,6.099,1522188.4200000002
714,243.16,6.814,1656892.24
715,253.02,3.991,1009802.8200000001
716,222.53,8.691,1934008.2300000002
717,235.58,5.52,1300401.5999999999
718,227.76,4.979,1134017.04
719,245.54,5.416,1329844.6400000001
720,253.39,5.294,1341446.66
721,228.71,4.904,1121593.84
722,239.7,10.319,2473464.3000000003
723,241.26,4.979,1201233.54
724,239.75,7.985,1914403.7500000002
725,248.88,7.684,1912393.92
726,242.88,5.106,1240145.28
727,266.82,9.337,2491298.34
728,217.95,2.999,653632.0499999999
729,236.78,4.556,1078769.6800000002
730,252.15,5.392,1359592.8
731,241.35,6.589,1590255.15
732,252.93,8.003,2024198.79
733,268.56,6.678,1793443.6800000002
734,239.2,2.177,520738.39999999997
735,240.81,6.334,1525290.54
736,256.36,7.368,1888860.4800000002
737,222.85,3.74,833459.0000000001
738,223.93,5.205,1165555.65
739,242.89,4.853,1178745.17
740,251.1,2.605,654115.5
741,241.39,7.066,1705661.7399999998
742,233.61,7.436,1737123.9600000002
743,251.73,1.879,473000.67
744,241.98,5.461,1321452.78
745,225.31,5.221,1176343.51
746,252.13,6.969,1757093.9700000002
747,197.12,5.199,1024826.8800000001
748,254.76,6.826,1738991.7599999998
749,260.4,5.642,1469176.8
750,263.32,3.773,993506.36
751,247.01,5.362,1324467.6199999999
752,254.67,6.857,1746272.19
753,248.34,10.339,2567587.2600000002
754,246.43,5.751,1417218.9300000002
755,226.47,6.532,1479302.04
756,246.81,7.307,1803440.6700000002
757,257.22,8.413,2163991.86
758,235.16,5.992,1409078.72
759,250.81,7.805,1957572.05
760,230.12,5.377,1237355.2399999998
761,232.45,4.337,1008135.6499999999
762,259.48,3.654,948139.92
763,234.87,6.156,1445859.72
764,223.63,6.797,1520013.1099999999
765,231.62,6.537,1514099.94
766,235.58,5.95,1401701.0
767,223.44,8.844,1976103.3599999999
768,261.11,5.816,1518615.7600000002
769,254.19,4.675,1188338.25
770,254.6,4.256,1083577.6
771,227.5,5.974,1359085.0
772,263.45,5.302,1396811.9
773,235.91,5.835,1376534.85
774,267.42,4.22,1128512.4000000001
775,261.91,4.981,1304573.7100000002
776,260.03,7.501,1950485.0299999998
777,243.49,7.877,1917970.73
778,240.06,5.594,1342895.6400000001
779,250.3,6.36,1591908.0000000002
780,255.98,9.446,2417987.08
781,230.7,7.029,1621590.2999999998
782,244.05,12.198,2976921.9000000004
783,223.19,7.537,1682183.03
784,235.26,7.443,1751040.1799999997
785,247.01,3.447,851443.47
786,238.77,4.607,1100013.3900000001
787,250.63,5.026,1259666.38
788,255.18,5.986,1527507.48
789,261.16,4.513,1178615.08
790,253.6,4.759,1206882.4
791,224.55,3.344,750895.2000000001
792,225.28,4.733,1066250.2399999998
793,255.75,6.079,1554704.25
794,220.68,7.702,1699677.36
795,250.4,9.593,2402087.1999999997
796,258.36,7.547,1949842.9200000002
797,242.16,2.605,630826.7999999999
798,251.23,6.738,1692787.74
799,234.27,6.806,1594441.62
800,264.3,6.468,1709492.4000000001
801,233.35,6.815,1590280.25
802,217.23,5.28,1146974.4000000001
803,278.17,6.011,1672079.87
804,258.66,5.82,1505401.2000000002
805,263.86,7.935,2093729.1
806,250.78,3.382,848137.96
807,245.87,11.233,2761857.7100000004
808,250.04,4.705,1176438.2
809,235.73,7.855,1851659.15
810,226.86,4.667,1058755.62
811,252.89,7.828,1979622.92
812,217.48,5.744,1249205.1199999999
813,241.69,8.002,1934003.3800000001
