,yield [thousands of bushels],price [$/bushel],total
139,252.47,5.942,1500176.7400000002
140,258.75,4.67,1208362.5
141,230.85,4.146,957104.0999999999
142,233.73,4.025,940763.2500000001
143,232.81,10.281,2393519.6100000003
144,240.35,4.772,1146950.2
145,252.53,6.869,1734628.5699999998
146,260.36,6.764,1761075.0400000003
147,253.28,5.632,1426472.9599999997
148,252.8,6.609,1670755.2
149,266.27,7.786,2073178.2199999997
150,260.75,7.435,1938676.25
151,230.3,4.551,1048095.3000000002
152,252.79,5.868,1483371.7200000002
153,255.45,4.819,1231013.5499999998
154,263.93,5.74,1514958.2
155,241.52,7.721,1864775.92
156,257.27,8.907,2291503.89
157,243.61,8.518,2075069.9800000002
158,248.38,4.689,1164653.82
159,268.6,5.381,1445336.6
160,228.19,8.613,1965400.4699999997
161,230.17,6.954,1600602.18
162,235.18,9.483,2230211.94
163,250.18,4.429,1108047.2200000002
164,265.47,11.712,3109184.6400000006
165,244.15,7.501,1831369.1500000001
166,266.26,7.591,2021179.66
167,247.62,5.338,1321795.56
168,250.97,6.211,1558774.67
169,261.68,4.135,1082046.8
170,262.3,7.02,1841346.0
171,209.07,7.514,1570951.98
172,220.05,2.667,586873.35
173,221.23,3.862,854390.26
174,241.08,9.526,2296528.08
175,247.23,6.597,1630976.31
176,212.92,2.547,542307.24
177,210.21,9.289,1952640.69
178,229.73,3.997,918230.8099999999
179,243.95,9.042,2205795.9
180,240.83,4.71,1134309.3
181,240.26,6.194,1488170.44
182,239.56,6.952,1665421.1199999999
183,255.55,10.072,2573899.5999999996
184,247.4,8.444,2089045.6000000003
185,240.27,7.572,1819324.4400000002
186,238.32,8.244,1964710.0799999998
187,248.68,6.936,1724844.48
188,255.0,6.379,1626645.0
189,203.97,4.378,892980.66
190,239.48,10.591,2536332.6799999997
191,254.98,8.116,2069417.68
192,243.75,3.491,850931.25
193,226.16,7.199,1628125.8399999999
194,263.81,3.497,922543.57
195,232.24,3.949,917115.76
196,258.1,4.833,1247397.3
197,239.26,5.397,1291286.22
198,236.75,7.676,1817293.0000000002
199,254.63,7.037,1791831.31
200,233.1,4.212,981817.2
201,216.14,7.431,1606136.34
202,270.28,7.184,1941691.5199999998
203,254.89,8.336,2124763.04
204,232.49,7.034,1635334.66
205,255.9,4.693,1200938.7
206,256.27,4.952,1269049.0399999998
207,243.93,6.341,1546760.1300000001
208,258.06,7.083,1827838.98
209,237.13,5.788,1372508.4400000002
210,259.18,4.481,1161385.5799999998
211,261.5,7.347,1921240.5
212,221.85,8.238,1827600.2999999998
213,255.87,9.023,2308715.01
214,252.93,8.285,2095525.0500000003
215,264.25,5.06,1337104.9999999998
216,263.06,7.828,2059233.6800000002
217,238.57,6.358,1516828.0599999998
218,262.55,2.989,784761.95
219,253.38,2.424,614193.12
220,260.3,4.86,1265058.0000000002
221,251.39,5.771,1450771.6899999997
222,242.21,6.45,1562254.5
223,263.94,7.431,1961338.1400000001
224,245.51,7.639,1875450.8900000001
225,245.12,5.571,1365563.52
226,254.49,8.561,2178688.89
227,257.89,9.3,2398377.0
228,257.56,7.932,2042965.9200000002
229,222.42,5.691,1265792.2199999997
230,205.87,5.21,1072582.7
231,235.37,4.316,1015856.9199999999
232,234.55,3.023,709044.65
233,254.3,7.832,1991677.6
234,250.43,5.228,1309248.04
235,241.81,4.099,991179.1900000001
236,270.96,7.995,2166325.1999999997
237,261.61,4.509,1179599.49
238,249.93,8.027,2006188.1099999999
239,256.43,6.57,1684745.1
240,239.79,9.443,2264336.9699999997
241,230.8,8.899,2053889.2000000002
242,243.85,8.851,2158316.35
243,234.44,10.985,2575323.4
244,253.52,4.807,1218670.6400000001
245,261.98,6.76,1770984.8000000003
246,249.34,3.643,908345.62
247,246.46,5.205,1282824.3
248,253.97,10.214,2594049.58
249,246.13,6.852,1686482.76
250,232.96,7.983,1859719.68
251,257.75,6.517,1679756.75
252,241.69,9.035,2183669.1500000004
253,268.0,8.338,2234584.0
254,242.26,9.635,2334175.1
255,244.41,7.765,1897843.65
256,258.72,4.624,1196321.28
257,242.34,8.209,1989369.06
258,253.8,7.676,1948168.8
259,255.91,5.452,1395221.3199999998
260,233.94,5.76,1347494.4000000001
261,229.59,3.414,783820.2600000001
262,252.43,4.951,1249780.93
263,245.76,6.287,1545093.12
264,240.28,6.0,1441680.0
265,220.46,5.429,1196877.34
266,263.5,5.825,1534887.5
267,269.54,8.817,2376534.18
268,255.38,7.062,1803493.56
269,250.36,8.979,2247982.44
270,252.73,5.781,1461032.13
271,230.26,2.215,510025.8999999999
272,200.84,7.274,1460910.1600000001
273,224.82,11.105,2496626.1
274,250.64,4.368,1094795.52
275,258.99,6.271,1624126.29
276,241.57,5.85,1413184.4999999998
277,220.09,6.271,1380184.39
278,241.18,6.809,1642194.6199999999
279,278.29,4.092,1138762.68
280,249.08,2.633,655827.6400000001
281,246.65,6.507,1604951.55
282,265.45,7.215,1915221.75
283,232.09,7.504,1741603.3599999999
284,263.03,5.328,1401423.8399999999
285,219.38,5.204,1141653.5199999998
286,250.42,7.629,1910454.1799999997
287,250.08,4.85,1212888.0
288,249.65,9.163,2287542.95
289,259.68,8.422,2187024.96
290,250.59,7.618,1908994.62
291,249.32,4.119,1026949.0799999998
292,237.7,5.011,1191114.7000000002
293,253.13,4.893,1238565.0899999999
294,232.3,9.638,2238907.4
295,231.45,8.566,1982600.7
296,249.2,1.335,332681.99999999994
297,257.88,4.846,1249686.48
298,252.19,8.694,2192539.8600000003
299,261.47,3.989,1043003.8300000001
300,223.77,6.51,1456742.7
301,261.26,9.239,2413781.14
302,222.24,2.37,526708.8
303,252.54,9.543,2409989.2199999997
304,255.82,5.804,1484779.28
305,233.11,6.748,1573026.28
306,240.98,7.804,1880607.92
307,257.38,5.894,1516997.72
308,231.26,10.558,2441643.0799999996
309,229.41,10.787,2474645.6700000004
310,246.29,5.355,1318882.9500000002
311,225.5,8.033,1811441.5
312,252.89,6.584,1665027.7599999998
313,225.17,8.865,1996132.05
314,227.25,8.341,1895492.2499999998
315,254.89,6.961,1774289.29
316,217.16,3.734,810875.4400000001
317,212.39,5.053,1073206.67
318,243.72,8.262,2013614.64
319,239.63,8.69,2082384.7
320,227.97,7.592,1730748.24
321,261.93,8.722,2284553.46
322,239.92,10.717,2571222.64
323,208.2,4.7,978540.0
324,238.55,6.506,1552006.3000000003
325,235.53,6.174,1454162.2200000002
326,254.42,5.604,1425769.68
327,244.18,6.058,1479242.44
328,249.42,8.207,2046989.9400000002
329,228.13,3.624,826743.12
330,252.56,9.465,2390480.4
331,248.9,5.997,1492653.3
332,242.95,8.447,2052198.65
333,253.75,7.131,1809491.25
334,268.93,6.891,1853196.6300000001
335,235.84,3.612,851854.0800000001
336,262.29,7.551,1980551.7900000003
337,245.74,5.502,1352061.48
338,259.17,7.781,2016601.77
339,240.85,6.873,1655362.05
340,249.44,6.041,1506867.04
341,255.24,7.511,1917107.6400000001
342,248.9,6.147,1529988.3000000003
343,248.02,6.186,1534251.72
344,218.62,4.278,935256.36
345,236.46,5.336,1261750.5600000003
346,268.1,7.178,1924421.8
347,229.53,3.909,897232.7699999999
348,242.51,7.771,1884545.21
349,244.16,4.798,1171479.68
350,245.39,7.729,1896619.3099999998
351,245.27,7.032,1724738.6400000001
352,236.56,6.327,1496715.12
353,229.7,3.342,767657.3999999999
354,256.27,2.584,662201.68
355,235.39,9.274,2183006.8599999994
356,256.16,9.479,2428140.64
357,261.94,6.04,1582117.6
358,270.8,5.581,1511334.8
359,234.66,6.691,1570110.06
360,218.81,6.121,1339336.0100000002
361,225.32,6.139,1383239.48
362,246.45,5.801,1429656.45
363,215.4,4.958,1067953.2000000002
364,254.13,7.522,1911565.8599999999
365,253.53,10.063,2551272.39
366,225.14,7.964,1793014.96
367,239.31,3.049,729656.1900000001
368,261.35,6.289,1643630.15
369,261.12,4.177,1090698.24
370,252.25,4.338,1094260.5
371,274.63,8.158,2240431.54
372,226.86,7.826,1775406.3599999999
373,235.18,10.407,2447518.2600000002
374,212.58,10.226,2173843.08
375,258.22,4.481,1157083.82
376,248.78,8.506,2116122.68
377,260.84,5.55,1447661.9999999998
378,256.11,1.592,407727.12000000005
379,255.42,12.525,3199135.5
380,251.8,6.029,1518102.2
381,248.76,4.148,1031856.4799999999
382,248.5,8.809,2189036.4999999995
383,227.33,4.445,1010481.8500000001
384,267.32,6.791,1815370.12
385,247.54,5.257,1301317.7799999998
386,239.67,6.515,1561450.0499999998
387,223.0,8.619,1922037.0
388,252.32,8.135,2052623.2
389,230.86,3.646,841715.5599999999
390,268.96,7.984,2147376.64
391,254.56,5.428,1381751.6800000002
392,224.7,6.045,1358311.5
393,257.74,7.664,1975319.3599999999
394,244.62,1.89,462331.8
395,257.24,3.532,908571.68
396,244.6,5.595,1368536.9999999998
397,249.57,5.098,1272307.8599999999
398,254.89,10.437,2660286.9299999997
399,223.46,4.001,894063.4600000001
400,245.71,9.508,2336210.6799999997
401,252.18,4.733,1193567.94
402,249.45,4.852,1210331.4000000001
403,225.32,4.975,1120966.9999999998
404,266.42,5.452,1452521.84
405,246.75,6.254,1543174.4999999998
406,261.09,8.211,2143809.9899999998
407,260.81,7.403,1930776.43
408,251.17,6.241,1567551.9699999997
409,240.6,6.25,1503750.0
410,210.44,9.172,1930155.6800000002
411,238.32,6.933,1652272.5599999998
412,226.27,8.765,1983256.5500000003
413,256.91,5.051,1297652.4100000001
414,257.26,6.754,1737534.0399999998
415,247.16,4.725,1167831.0
416,203.55,4.319,879132.4500000001
417,253.33,9.004,2280983.32
418,269.57,5.163,1391789.91
419,249.62,3.206,800281.72
420,261.5,7.097,1855865.5
421,247.0,6.512,1608464.0
422,244.73,4.862,1189877.26
423,259.37,7.065,1832449.0500000003
424,239.68,4.596,1101569.2800000003
425,235.94,6.901,1628221.94
426,236.64,5.959,1410137.7599999998
427,238.63,4.481,1069301.0299999998
428,221.9,4.267,946847.3000000002
429,244.72,8.272,2024323.84
430,233.83,10.48,2450538.4000000004
431,261.89,5.019,1314425.91
432,254.7,6.631,1688915.7
433,230.34,3.276,754593.84
434,263.17,8.309,2186679.53
435,226.39,1.058,239520.62
436,248.47,4.024,999843.28
437,249.4,4.941,1232285.4
438,217.23,5.951,1292735.73
439,219.34,4.535,994706.9
440,254.66,6.285,1600538.1
441,235.81,8.126,1916192.0599999998
442,234.32,2.631,616495.9199999999
443,249.18,4.805,1197309.9
444,249.28,2.863,713688.64
445,219.8,6.247,1373090.6
446,233.91,10.288,2406466.08
447,254.38,5.623,1430378.7400000002
448,246.87,7.933,1958419.71
449,247.6,5.205,1288758.0
450,217.76,3.989,868644.64
451,249.06,5.589,1391996.34
452,248.07,2.821,699805.47
453,218.86,4.208,920962.88
454,204.04,6.018,1227912.7199999997
455,230.9,5.158,1190982.2000000002
456,219.5,6.524,1432018.0
457,263.24,3.203,843157.7200000001
458,248.07,5.791,1436573.37
459,241.56,8.624,2083213.44
460,250.36,11.207,2805784.52
461,244.18,9.153,2234979.54
462,260.89,1.773,462557.97
463,247.02,5.372,1326991.44
464,227.3,7.315,1662699.5000000002
465,261.01,5.965,1556924.65
466,255.11,7.386,1884242.4600000002
467,244.51,2.368,578999.6799999999
468,246.03,7.887,1940438.6099999999
469,229.88,7.024,1614677.12
470,260.4,6.46,1682183.9999999998
471,239.01,6.544,1564081.44
472,242.07,6.521,1578538.47
473,242.4,4.66,1129584.0
474,227.29,3.56,809152.3999999999
475,229.08,12.088,2769119.04
476,217.73,8.676,1889025.48
477,233.27,6.804,1587169.08
478,232.19,7.249,1683145.3099999998
479,227.51,6.241,1419889.91
480,242.6,6.433,1560645.8
481,230.03,7.263,1670707.89
482,242.91,4.924,1196088.84
483,250.42,5.323,1332985.6600000001
484,233.94,8.062,1886024.2799999998
485,233.56,8.308,1940416.48
486,249.93,9.143,2285109.99
487,250.49,7.126,1784991.7400000002
488,262.65,7.855,2063115.75
489,225.49,6.96,1569410.4
490,267.57,7.124,1906168.6799999997
491,240.64,6.94,1670041.6
492,250.44,10.493,2627866.92
493,235.31,4.569,1075131.39
494,252.55,8.116,2049695.8
495,254.73,6.884,1753561.32
496,222.8,5.063,1128036.4
497,218.26,8.152,1779255.5199999998
498,251.19,7.142,1793998.98
499,228.66,7.702,1761139.32
500,226.12,4.008,906288.96
501,252.46,5.343,1348893.78
502,241.96,5.263,1273435.48
503,230.64,5.198,1198866.72
504,264.75,5.585,1478628.75
505,256.42,2.674,685667.0800000001
506,250.51,6.566,1644848.66
507,232.03,4.057,941345.7100000001
508,238.9,3.861,922392.9
509,236.39,8.181,1933906.5899999996
510,251.36,9.808,2465338.8800000004
511,225.19,6.775,1525662.25
512,223.65,5.538,1238573.7000000002
513,228.23,8.632,1970081.3599999999
514,248.68,2.323,577683.64
515,253.27,8.1,2051487.0
516,257.96,5.236,1350678.5599999998
517,269.14,6.587,1772825.1799999997
518,233.47,3.62,845161.4
519,225.4,3.563,803100.2000000001
520,244.55,9.835,2405149.2500000005
521,247.27,5.045,1247477.15
522,238.45,7.795,1858717.7499999998
523,246.6,7.885,1944440.9999999998
524,237.58,4.695,1115438.1
525,228.12,3.417,779486.04
526,253.76,5.639,1430952.64
527,246.18,3.98,979796.4
528,235.54,2.802,659983.08
529,217.38,7.222,1569918.36
530,235.1,6.598,1551189.7999999998
531,243.79,3.626,883982.5399999999
532,254.0,7.621,1935734.0000000002
533,249.12,6.169,1536821.2799999998
534,239.28,5.514,1319389.9200000002
535,227.3,6.672,1516545.5999999999
536,230.85,3.955,913011.75
537,256.46,7.143,1831893.7799999998
538,236.92,0.762,180533.04
539,251.51,5.886,1480387.86
540,215.04,7.767,1670215.68
541,251.47,9.902,2490055.94
542,252.9,8.546,2161283.4
543,251.47,4.766,1198506.02
544,229.34,7.48,1715463.2000000002
545,222.84,6.572,1464504.48
546,243.26,6.365,1548349.9
547,259.01,4.993,1293236.93
548,253.2,6.806,1723279.2
549,251.31,6.035,1516655.85
550,256.38,6.309,1617501.4200000002
551,233.53,5.269,1230469.57
552,260.29,4.142,1078121.1800000002
553,260.39,8.563,2229719.5700000003
554,226.12,5.471,1237102.5200000003
555,247.96,5.737,1422546.52
556,225.21,4.63,1042722.2999999999
557,247.19,7.239,1789408.41
558,255.05,7.813,1992705.6500000001
559,239.98,5.989,1437240.22
560,249.27,9.067,2260131.0900000003
561,250.68,9.049,2268403.32
562,244.56,11.657,2850835.92
563,234.71,2.128,499462.88000000006
564,236.63,11.443,2707757.09
565,252.51,4.999,1262297.49
566,245.96,7.447,1831664.12
567,254.56,4.71,1198977.5999999999
568,262.51,7.446,1954649.46
569,242.35,7.489,1814959.15
570,235.68,5.997,1413372.96
571,259.12,5.612,1454181.4400000002
572,234.84,6.002,1409509.68
573,224.08,4.953,1109868.24
574,227.84,8.89,2025497.6
575,240.01,10.563,2535225.63
576,220.19,4.747,1045241.9299999999
577,240.96,8.396,2023100.1600000001
578,245.34,7.491,1837841.94
579,237.79,4.976,1183243.04
580,208.74,7.827,1633807.98
581,249.85,9.441,2358833.85
582,226.35,3.678,832515.2999999999
583,253.14,3.103,785493.42
584,237.65,5.05,1200132.5
585,266.61,5.537,1476219.57
586,271.6,7.604,2065246.4
587,238.17,11.249,2679174.3299999996
588,229.13,6.157,1410753.41
589,248.83,6.278,1562154.74
590,245.19,4.643,1138417.17
591,235.31,6.547,1540574.57
592,216.52,7.886,1707476.7200000002
593,238.23,8.57,2041631.1
594,263.34,5.895,1552389.2999999998
595,253.46,6.01,1523294.5999999999
596,219.13,7.0,1533909.9999999998
597,234.34,9.82,2301218.8000000003
598,224.24,4.521,1013789.04
599,259.06,10.182,2637748.92
600,254.73,7.006,1784638.3800000001
601,234.8,7.904,1855859.2000000002
602,244.66,4.887,1195653.42
603,254.78,8.181,2084355.18
604,240.55,5.666,1362956.3
605,264.86,6.012,1592338.32
606,231.72,4.806,1113646.32
607,250.72,8.011,2008517.9199999997
608,237.04,5.403,1280727.1199999999
609,238.81,9.035,2157648.35
610,244.26,5.523,1349047.9799999997
611,265.36,3.578,949458.08
612,224.34,7.134,1600441.5600000003
613,260.58,6.776,1765690.0799999998
614,254.5,7.142,1817639.0000000002
615,246.74,8.784,2167364.16
616,204.54,7.584,1551231.3599999999
617,252.53,3.526,890420.7799999999
618,227.56,8.769,1995473.6400000001
619,260.41,4.79,1247363.9000000001
620,234.28,8.448,1979197.4400000002
621,268.48,2.257,605959.3600000001
622,220.33,5.043,1111124.19
623,268.64,5.678,1525337.92
624,253.65,9.489,2406884.8500000006
625,259.31,12.874,3338356.94
626,254.72,4.356,1109560.32
627,247.82,7.882,1953317.2399999998
628,241.49,3.992,964028.0800000001
629,230.75,4.875,1124906.25
630,265.29,6.069,1610045.01
631,257.16,4.79,1231796.4000000001
632,256.74,9.576,2458542.24
633,258.9,7.27,1882202.9999999998
634,248.53,2.6,646178.0
635,233.56,9.084,2121659.04
636,242.89,10.025,2434972.25
637,250.31,6.056,1515877.3599999999
638,241.74,6.563,1586539.62
639,254.39,6.723,1710263.97
640,249.46,7.608,1897891.68
641,236.79,7.643,1809785.97
642,247.4,8.134,2012351.6
643,265.74,8.235,2188368.9
644,272.6,10.218,2785426.8000000003
645,238.18,4.395,1046801.0999999999
646,253.33,5.206,1318835.98
647,270.43,6.276,1697218.68
648,259.53,5.514,1431048.42
649,246.1,8.984,2210962.4
650,248.82,7.159,1781302.38
651,239.5,6.891,1650394.5
652,264.44,7.646,2021908.24
653,247.99,8.608,2134697.92
654,271.57,5.701,1548220.57
655,240.66,6.97,1677400.1999999997
656,208.91,8.016,1674622.56
657,254.48,7.733,1967893.8399999996
658,259.01,6.167,1597314.67
659,227.29,9.788,2224714.52
660,236.88,4.361,1033033.68
661,253.86,6.651,1688422.86
662,253.13,5.606,1419046.7799999998
663,237.96,5.834,1388258.6400000001
664,256.02,9.124,2335926.48
665,265.12,4.441,1177397.92
666,234.48,6.411,1503251.2799999998
667,215.91,8.055,1739155.0499999998
668,246.47,3.71,914403.7
669,259.75,3.022,784964.4999999999
670,237.72,6.81,1618873.2
671,227.13,5.001,1135877.1300000001
672,256.36,4.891,1253856.76
673,251.6,7.485,1883226.0
674,232.36,4.975,1155991.0
675,248.99,5.344,1330602.56
676,225.51,5.94,1339529.4000000001
677,253.25,6.798,1721593.5
678,256.0,6.787,1737472.0
679,216.37,6.347,1373300.3900000001
680,250.61,4.055,1016223.5499999999
681,260.85,7.158,1867164.3000000003
682,245.88,7.047,1732716.3599999999
683,243.32,5.918,1439967.76
684,241.88,7.378,1784590.64
685,263.06,4.65,1223229.0
686,266.37,3.393,903793.41
687,231.88,6.179,1432786.52
688,258.99,11.494,2976831.06
689,238.1,4.12,980972.0
690,247.03,6.252,1544431.56
691,271.68,4.841,1315202.8800000001
692,249.99,5.163,1290698.37
693,275.31,7.162,1971770.22
694,251.81,8.536,2149450.1599999997
695,236.33,9.924,2345338.92
696,239.8,7.184,1722723.2000000002
697,263.23,10.795,2841567.8500000006
698,239.6,2.77,663692.0
699,249.25,8.843,2204117.75
700,259.2,7.257,1881014.4
701,234.22,8.269,1936765.1800000002
702,203.89,10.298,2099659.22
703,232.59,6.74,1567656.6
704,260.52,10.925,2846181.0
705,255.67,6.845,1750061.1499999997
706,238.34,8.709,2075703.0599999998
707,262.12,10.958,2872310.9600000004
708,242.92,5.737,1393632.04
709,243.5,7.741,1884933.4999999998
710,255.12,7.534,1922074.08
711,249.43,6.193,1544719.99
712,243.61,6.975,1699179.75
713,249.22,5.198,1295445.56
714,242.25,7.821,1894637.25
715,253.44,4.659,1180776.96
716,222.29,10.094,2243795.26
717,235.11,5.983,1406663.13
718,227.57,7.737,1760709.09
719,245.53,6.737,1654135.61
720,252.75,5.148,1301157.0
721,228.5,5.83,1332155.0
722,239.1,8.827,2110535.6999999997
723,241.25,4.076,983334.9999999999
724,240.06,8.431,2023945.8599999999
725,249.0,5.22,1299780.0
726,243.84,2.705,659587.2000000001
727,267.02,7.736,2065666.7199999997
728,217.45,11.071,2407388.95
729,237.05,9.757,2312896.85
730,252.85,6.214,1571209.9000000001
731,240.64,6.437,1548999.68
732,253.1,8.703,2202729.3
733,268.5,5.466,1467621.0
734,239.16,2.266,541936.5599999999
735,240.62,3.328,800783.36
736,256.31,5.899,1511972.69
737,221.76,3.461,767511.36
738,223.17,9.413,2100699.21
739,243.47,4.135,1006748.45
740,250.41,3.577,895716.57
741,241.59,7.012,1694029.08
742,233.46,4.053,946213.38
743,251.82,3.711,934504.02
744,242.56,5.657,1372161.92
745,225.58,4.471,1008568.18
746,252.28,5.467,1379214.7599999998
747,196.3,5.981,1174070.3
748,254.68,7.078,1802625.04
749,260.49,8.136,2119346.6399999997
750,263.34,4.127,1086804.18
751,247.03,6.014,1485638.42
752,255.64,5.458,1395283.12
753,247.88,8.066,1999400.08
754,245.66,6.718,1650343.88
755,226.19,9.793,2215078.67
756,246.64,6.541,1613272.24
757,256.51,6.769,1736316.19
758,235.06,7.442,1749316.52
759,250.91,7.781,1952330.71
760,230.11,6.561,1509751.71
761,232.77,6.0,1396620.0000000002
762,259.73,5.102,1325142.4600000002
763,235.32,5.736,1349795.5199999998
764,223.69,9.066,2027973.5400000003
765,231.98,6.734,1562153.3199999998
766,235.3,9.273,2181936.9000000004
767,223.86,6.138,1374052.68
768,260.65,9.477,2470180.05
769,254.4,4.086,1039478.4000000001
770,253.54,4.656,1180482.2399999998
771,228.18,4.442,1013575.56
772,263.75,2.149,566798.75
773,235.76,4.379,1032393.0399999999
774,267.07,6.832,1824622.24
775,262.48,5.58,1464638.4000000001
776,259.84,5.923,1539032.3199999998
777,243.22,8.45,2055208.9999999998
778,240.26,4.13,992273.7999999999
779,250.35,7.053,1765718.55
780,255.66,10.389,2656051.7399999998
781,230.07,6.199,1426203.93
782,244.68,8.231,2013961.08
783,223.67,4.095,915928.6499999999
784,234.99,8.407,1975560.9300000002
785,248.06,6.251,1550623.06
786,239.35,6.132,1467694.2
787,250.52,7.514,1882407.28
788,255.45,4.072,1040192.3999999999
789,261.8,6.942,1817415.6
790,253.15,5.701,1443208.15
791,224.01,6.361,1424927.6099999999
792,226.07,5.485,1239993.95
793,255.72,5.838,1492893.36
794,219.93,4.15,912709.5000000001
795,251.0,10.244,2571244.0
796,258.8,9.691,2508030.8000000003
797,242.14,5.173,1252590.22
798,251.77,5.294,1332870.38
799,234.04,4.763,1114732.52
800,263.7,3.293,868364.1
801,233.46,7.689,1795073.94
802,217.02,5.271,1143912.4200000002
803,277.85,6.685,1857427.25
804,258.24,4.368,1127992.32
805,262.74,4.658,1223842.9200000002
806,251.38,2.866,720455.0800000001
807,245.71,11.645,2861292.95
808,250.64,5.505,1379773.2
809,235.52,7.487,1763338.24
810,226.37,5.856,1325622.72
811,252.3,4.094,1032916.2000000001
812,217.96,8.765,1910419.4000000001
813,241.17,9.972,2404947.2399999998
814,232.87,7.914,1842933.18
815,234.92,7.623,1790795.16
816,213.72,6.654,1422092.88
817,247.2,2.407,595010.4
818,250.1,7.247,1812474.7
819,240.27,9.535,2290974.45
