,yield [thousands of bushels],price [$/bushel],total
162,233.13,8.618,2009114.34
163,249.63,6.599,1647308.3699999999
164,266.72,7.751,2067346.7200000004
165,243.26,4.0,973040.0
166,263.87,4.36,1150473.2000000002
167,247.73,2.305,571017.65
168,252.85,3.719,940349.1499999999
169,260.67,9.523,2482360.41
170,261.73,5.05,1321736.5
171,208.66,8.468,1766932.8800000001
172,220.76,2.65,585014.0
173,221.33,2.728,603788.2400000001
174,241.44,10.659,2573508.96
175,247.94,5.547,1375323.18
176,213.35,3.506,748005.1
177,209.73,5.062,1061653.26
178,231.27,7.473,1728280.71
179,244.67,7.329,1793186.4299999997
180,241.54,11.149,2692929.46
181,240.48,4.724,1136027.52
182,240.3,5.357,1287287.1
183,255.3,9.325,2380672.5
184,247.82,4.059,1005901.38
185,240.18,10.565,2537501.6999999997
186,238.1,8.92,2123852.0
187,249.11,10.123,2521740.5300000003
188,254.94,7.438,1896243.72
189,206.09,8.327,1716111.43
190,239.7,3.52,843743.9999999999
191,255.88,7.021,1796533.48
192,242.61,9.217,2236136.37
193,227.15,4.733,1075100.95
194,263.5,5.287,1393124.5
195,234.48,4.729,1108855.92
196,257.95,7.774,2005303.2999999998
197,240.73,5.149,1239518.77
198,236.56,8.884,2101599.04
199,254.99,4.242,1081667.58
200,233.32,4.794,1118536.0799999998
201,217.27,4.975,1080918.25
202,271.08,5.221,1415308.68
203,254.96,7.122,1815825.1199999999
204,231.03,3.327,768636.8099999999
205,256.25,4.633,1187206.25
206,258.97,3.307,856413.79
207,243.74,10.887,2653597.3800000004
208,258.28,8.363,2159995.6399999997
209,236.33,6.65,1571594.5000000002
210,258.69,12.047,3116438.43
211,261.77,6.446,1687369.4199999997
212,224.87,0.753,169327.11000000002
213,257.03,4.083,1049453.4899999998
214,252.94,3.686,932336.84
215,262.57,4.268,1120648.7599999998
216,263.85,1.225,323216.25000000006
217,239.17,5.907,1412777.19
218,261.1,5.351,1397146.1
219,253.7,3.067,778097.9
220,261.43,8.489,2219279.2700000005
221,249.56,5.474,1366091.4400000002
222,244.15,10.587,2584816.05
223,264.34,1.859,491408.06
224,245.19,11.45,2807425.5
225,244.43,1.836,448773.48
226,253.77,12.39,3144210.3000000003
227,255.84,1.736,444138.24
228,257.11,5.427,1395335.97
229,222.0,7.664,1701408.0
230,206.26,9.191,1895735.6600000001
231,235.18,4.929,1159202.2200000002
232,235.98,1.665,392906.7
233,253.99,9.649,2450749.51
234,252.77,3.107,785356.39
235,240.51,3.698,889405.98
236,271.6,4.829,1311556.4
237,262.21,4.476,1173651.96
238,251.25,6.428,1615035.0
239,257.19,2.643,679753.1699999999
240,239.17,2.256,539567.5199999999
241,227.24,5.254,1193918.96
242,243.6,13.894,3384578.4
243,234.02,2.89,676317.8
244,254.23,1.901,483291.23
245,261.79,5.051,1322301.29
246,251.46,5.143,1293258.7799999998
247,245.59,6.897,1693834.2300000002
248,252.63,3.977,1004709.5099999999
249,246.96,10.267,2535538.3200000003
250,235.97,2.879,679357.63
251,256.98,7.395,1900367.0999999999
252,242.47,10.966,2658926.02
253,265.55,2.79,740884.5
254,241.51,10.626,2566285.26
255,243.34,10.235,2490584.9
256,259.35,0.929,240936.15000000002
257,242.64,7.302,1771757.2799999998
258,253.97,12.928,3283324.16
259,257.37,8.217,2114809.29
260,233.36,2.855,666242.8
261,228.54,7.258,1658743.32
262,253.37,4.153,1052245.6099999999
263,245.77,3.484,856262.68
264,240.14,9.054,2174227.5599999996
265,222.01,8.711,1933929.11
266,262.7,5.155,1354218.5
267,270.97,14.422,3907929.340000001
268,254.34,3.072,781332.48
269,251.47,4.986,1253829.42
270,252.38,6.737,1700284.06
271,231.17,3.811,880988.8699999999
272,200.9,2.719,546247.1
273,225.25,4.098,923074.5
274,250.66,1.898,475752.68
275,258.83,5.8,1501214.0
276,241.77,13.459,3253982.43
277,221.95,5.284,1172783.7999999998
278,240.98,6.741,1624446.18
279,278.4,6.619,1842729.5999999999
280,248.75,10.928,2718340.0
281,247.29,9.572,2367059.88
282,265.03,7.166,1899204.98
283,234.21,5.47,1281128.7
284,264.76,9.677,2562082.52
285,218.49,6.848,1496219.52
286,249.94,13.359,3338948.46
287,250.16,5.418,1355366.8800000001
288,251.61,5.012,1261069.32
289,258.71,11.778,3047086.38
290,250.26,6.983,1747565.5799999998
291,251.77,6.0,1510620.0000000002
292,237.85,8.331,1981528.3499999999
293,254.11,4.489,1140699.79
294,230.95,5.304,1224958.8
295,231.77,6.441,1492830.57
296,248.78,6.304,1568309.12
297,257.94,3.554,916718.76
298,253.87,5.828,1479554.36
299,260.14,6.4,1664896.0
300,220.99,7.411,1637756.89
301,260.96,0.801,209028.96
302,224.54,6.325,1420215.5
303,253.14,7.737,1958544.18
304,255.65,5.966,1525207.9000000001
305,233.57,13.234,3091065.38
306,241.89,8.246,1994624.94
307,256.3,5.104,1308155.2000000002
308,230.16,8.431,1940478.9599999997
309,230.06,7.552,1737413.1199999999
310,246.62,3.321,819025.02
311,223.98,4.738,1061217.24
312,253.8,3.393,861143.4
313,223.02,6.947,1549319.9400000002
314,226.86,10.679,2422637.94
315,255.89,9.445,2416881.05
316,218.58,9.272,2026673.7600000002
317,213.22,2.639,562687.58
318,244.88,3.81,932992.8
319,239.2,11.247,2690282.4
320,228.41,7.184,1640897.44
321,262.82,9.187,2414527.34
322,238.78,7.043,1681727.54
323,207.89,11.286,2346246.5399999996
324,240.4,5.447,1309458.8
325,236.02,9.851,2325033.0200000005
326,255.03,3.524,898725.72
327,243.43,8.645,2104452.35
328,250.28,3.968,993111.04
329,227.62,0.844,192111.28
330,253.01,7.19,1819141.9000000001
331,248.29,10.811,2684263.19
332,241.0,5.621,1354661.0
333,252.47,0.789,199198.83000000002
334,267.97,8.263,2214236.1100000003
335,237.1,5.982,1418332.2
336,262.67,5.844,1535043.4800000002
337,245.04,6.27,1536400.7999999998
338,258.7,5.45,1409915.0
339,240.29,5.584,1341779.3599999999
340,249.86,7.676,1917925.36
341,257.01,8.681,2231103.8099999996
342,248.08,6.063,1504109.04
343,246.93,5.971,1474419.03
344,217.91,7.209,1570913.19
345,236.16,0.737,174049.91999999998
346,268.36,12.843,3446547.48
347,229.22,1.466,336036.52
348,242.82,11.817,2869403.94
349,244.8,3.949,966715.2
350,245.48,6.418,1575490.64
351,246.66,11.878,2929827.48
352,237.85,3.283,780861.5499999999
353,228.24,5.663,1292523.12
354,256.15,2.365,605794.75
355,235.46,6.621,1558980.6600000001
356,255.58,10.9,2785822.0
357,265.2,8.429,2235370.8000000003
358,270.74,4.831,1307944.9400000002
359,234.26,10.822,2535161.7199999997
360,221.61,10.676,2365908.3600000003
361,225.45,4.523,1019710.3499999999
362,246.19,5.841,1437995.79
363,214.57,8.693,1865257.0099999998
364,253.6,10.111,2564149.6
365,253.54,2.046,518742.8399999999
366,226.06,3.236,731530.16
367,238.96,1.191,284601.36
368,260.61,11.96,3116895.6
369,261.72,7.293,1908723.9600000002
370,250.71,8.411,2108721.81
371,274.84,2.86,786042.3999999999
372,227.72,2.92,664942.4
373,233.68,9.951,2325349.68
374,212.81,3.489,742494.0900000001
375,256.65,4.324,1109754.5999999999
376,249.08,2.155,536767.3999999999
377,261.17,6.319,1650333.2300000002
378,255.59,4.384,1120506.56
379,255.9,9.597,2455872.3
380,252.64,6.508,1644181.1199999999
381,247.32,8.942,2211535.44
382,249.38,4.988,1243907.4400000002
383,228.85,4.953,1133494.05
384,268.27,4.604,1235115.08
385,245.64,2.477,608450.2799999999
386,239.73,5.762,1381324.2599999998
387,222.88,5.738,1278885.44
388,251.33,1.944,488585.52
389,231.94,8.806,2042463.6399999997
390,267.8,8.583,2298527.4
391,253.22,5.133,1299778.26
392,223.59,8.017,1792521.0299999998
393,255.89,5.503,1408162.67
394,243.59,1.018,247974.62000000002
395,259.23,3.445,893047.3500000001
396,243.79,11.276,2748976.04
397,252.15,1.317,332081.55
398,254.4,6.348,1614931.2
399,223.13,4.874,1087535.6199999999
400,245.39,5.321,1305720.1899999997
401,253.01,7.481,1892767.8099999998
402,248.82,4.742,1179904.44
403,225.3,10.551,2377140.3
404,263.38,13.706,3609886.28
405,246.6,8.662,2136049.1999999997
406,261.75,9.419,2465423.2500000005
407,261.05,6.25,1631562.5
408,252.78,7.856,1985839.68
409,240.39,7.186,1727442.5399999998
410,208.73,8.439,1761472.47
411,237.68,2.631,625336.08
412,225.41,5.283,1190841.03
413,257.9,5.156,1329732.4
414,256.73,5.906,1516247.3800000001
415,246.06,7.826,1925665.5599999998
416,204.32,10.026,2048512.3199999998
417,253.7,9.224,2340128.8
418,268.02,4.505,1207430.0999999999
419,248.36,9.622,2389719.92
420,262.52,8.193,2150826.3599999994
421,245.62,3.682,904372.84
422,243.58,5.432,1323126.56
423,259.96,0.729,189510.83999999997
424,243.31,6.282,1528473.42
425,234.78,4.828,1133517.84
426,238.09,9.248,2201856.32
427,237.64,3.819,907547.1599999999
428,222.24,3.685,818954.4
429,245.84,8.061,1981716.24
430,236.23,5.813,1373204.99
431,261.29,7.689,2009058.8100000003
432,254.83,7.791,1985380.53
433,229.87,12.217,2808321.79
434,261.58,7.039,1841261.6199999999
435,226.44,4.074,922516.5599999999
436,249.04,7.348,1829945.92
437,249.74,6.809,1700479.6600000001
438,217.77,11.82,2574041.4
439,218.68,7.532,1647097.76
440,256.84,7.951,2042134.8399999996
441,236.43,3.843,908600.49
442,233.62,6.223,1453817.26
443,246.21,6.461,1590762.81
444,247.98,4.776,1184352.48
445,217.92,8.854,1929463.6799999997
446,236.7,5.131,1214507.7
447,251.71,9.893,2490167.0300000003
448,247.43,12.174,3012212.82
449,246.98,11.465,2831625.7
450,219.02,8.755,1917520.1
451,250.02,10.273,2568455.46
452,246.56,8.612,2123374.72
453,218.69,8.402,1837433.3799999997
454,204.09,4.454,909016.86
455,230.34,8.081,1861377.54
456,218.68,12.597,2754711.96
457,265.03,6.059,1605816.77
458,247.06,7.366,1819843.96
459,241.53,6.837,1651340.6099999999
460,249.32,3.2,797824.0000000001
461,242.55,7.337,1779589.3499999999
462,264.12,5.292,1397723.04
463,248.18,8.269,2052200.4200000002
464,225.09,2.598,584783.82
465,262.3,9.725,2550867.5
466,255.12,9.093,2319806.16
467,243.7,3.329,811277.2999999999
468,246.17,0.837,206044.28999999998
469,228.53,6.196,1415971.8800000001
470,260.38,12.301,3202934.3800000004
471,239.91,9.976,2393342.16
472,241.19,7.202,1737050.38
473,242.55,7.018,1702215.9
474,230.4,3.805,876672.0
475,228.83,5.095,1165888.85
476,217.71,10.236,2228479.56
477,232.17,12.1,2809256.9999999995
478,231.44,1.396,323090.24
479,226.43,10.445,2365061.35
480,241.72,11.181,2702671.32
481,229.12,9.779,2240564.48
482,245.01,7.626,1868446.26
483,250.58,7.794,1953020.52
484,233.33,2.378,554858.74
485,233.38,8.292,1935186.96
486,249.7,0.956,238713.19999999998
487,249.84,13.02,3252916.8
488,263.14,3.042,800471.8799999999
489,225.21,5.017,1129878.57
490,266.59,4.981,1327884.7899999998
491,239.36,11.056,2646364.16
492,250.26,5.416,1355408.16
493,234.12,12.468,2919008.1599999997
494,253.16,12.233,3096906.2800000003
495,253.55,6.21,1574545.5000000002
496,222.48,6.012,1337549.7599999998
497,218.23,14.535,3171973.0500000003
498,250.4,2.213,554135.2000000001
499,228.83,11.329,2592415.0700000003
500,226.05,9.46,2138433.0000000005
501,253.53,1.702,431508.06
502,243.36,8.285,2016237.6
503,229.92,9.282,2134117.44
504,265.68,3.458,918721.4400000001
505,255.92,3.2,818944.0
506,251.19,6.531,1640521.89
507,233.91,5.758,1346853.78
508,238.89,6.128,1463917.92
509,236.05,5.516,1302051.8
510,250.67,13.861,3474536.87
511,225.6,8.767,1977835.1999999997
512,223.38,1.758,392702.04000000004
513,229.46,8.482,1946279.72
514,249.67,10.796,2695437.3199999994
515,254.02,7.701,1956208.02
516,257.83,0.687,177129.21
517,268.99,6.992,1880778.08
518,233.54,3.177,741956.5800000001
519,224.79,5.2,1168908.0
520,244.38,11.824,2889549.12
521,246.73,12.319,3039466.87
522,239.42,7.785,1863884.7
523,247.37,2.437,602840.69
524,237.3,7.518,1784021.4000000001
525,230.65,7.821,1803913.65
526,253.62,8.582,2176566.8400000003
527,247.16,6.182,1527943.12
528,234.74,3.352,786848.48
529,216.24,9.003,1946808.72
530,236.58,6.993,1654403.9400000002
531,243.56,1.666,405770.96
532,252.38,3.127,789192.2599999999
533,250.76,5.64,1414286.4
534,241.64,11.845,2862225.8000000003
535,226.27,6.433,1455594.91
536,230.57,10.412,2400694.8400000003
537,257.25,2.349,604280.25
538,238.44,5.698,1358631.12
539,255.67,4.095,1046968.6499999998
540,213.05,5.507,1173266.35
541,251.67,3.861,971697.87
542,251.71,7.254,1825904.34
543,250.24,11.302,2828212.48
544,230.42,3.653,841724.26
545,220.68,8.062,1779122.16
546,242.25,8.072,1955441.9999999998
547,259.03,1.121,290372.62999999995
548,251.99,7.997,2015164.03
549,251.18,6.834,1716564.12
550,256.11,9.405,2408714.5500000003
551,231.57,10.92,2528744.4
552,263.03,12.244,3220539.3199999994
553,259.69,5.457,1417128.33
554,224.97,2.557,575248.29
555,247.41,8.016,1983238.56
556,226.35,6.544,1481234.4
557,247.08,6.876,1698922.0800000003
558,255.59,13.324,3405481.1599999997
559,239.26,1.469,351472.94
560,248.33,7.296,1811815.6800000002
561,250.63,8.278,2074715.1400000001
562,245.02,7.31,1791096.2
563,235.37,8.472,1994054.64
564,235.67,10.17,2396763.9
565,252.87,8.391,2121832.17
566,244.78,12.067,2953760.2600000002
567,257.14,3.615,929561.1
568,262.13,10.549,2765209.37
569,241.74,9.727,2351404.9800000004
570,236.58,4.816,1139369.28
571,258.78,2.41,623659.8
572,234.85,12.815,3009602.75
573,223.9,4.176,935006.4000000001
574,227.01,11.172,2536155.72
575,239.99,8.082,1939599.1800000002
576,219.39,8.375,1837391.25
577,242.08,4.584,1109694.72
578,243.56,7.163,1744620.28
579,237.79,7.241,1721837.39
580,206.21,11.714,2415543.94
581,251.46,7.435,1869605.1
582,227.3,10.058,2286183.4
583,253.39,4.319,1094391.41
584,238.62,4.936,1177828.32
585,266.38,11.633,3098798.5399999996
586,272.96,4.819,1315394.2399999998
587,238.87,14.329,3422768.23
588,228.56,6.073,1388044.8800000001
589,248.34,4.591,1140128.94
590,244.77,4.111,1006249.47
591,235.76,6.129,1444973.0399999998
592,216.72,10.244,2220079.6799999997
593,236.02,12.354,2915791.08
594,262.85,6.058,1592345.3000000003
595,253.77,9.287,2356761.99
596,220.39,7.456,1643227.84
597,233.05,5.963,1389677.15
598,224.24,10.386,2328956.6399999997
599,259.29,12.089,3134556.8100000005
600,254.5,6.175,1571537.5
601,235.88,2.657,626733.16
602,244.44,3.323,812274.1199999999
603,254.79,6.72,1712188.7999999998
604,241.39,7.945,1917843.55
605,265.44,1.778,471952.32
606,230.21,10.255,2360803.5500000003
607,250.68,7.581,1900405.0800000003
608,236.48,7.605,1798430.4
609,238.04,7.633,1816959.3199999998
610,245.25,6.209,1522757.25
611,265.97,3.038,808016.8600000001
612,224.28,5.683,1274583.24
613,259.42,11.933,3095658.86
614,254.77,5.754,1465946.58
615,247.0,3.827,945269.0
616,206.0,9.173,1889638.0
617,252.64,5.765,1456469.5999999999
618,229.2,7.768,1780425.5999999999
619,258.5,6.899,1783391.5
620,233.35,4.26,994070.9999999999
621,269.35,10.291,2771880.8500000006
622,220.54,7.717,1701907.18
623,269.26,1.944,523441.43999999994
624,252.58,8.883,2243668.1399999997
625,259.43,7.514,1949357.0200000003
626,255.74,4.902,1253637.48
627,247.45,8.056,1993457.1999999995
628,241.84,6.013,1454183.92
629,229.76,6.556,1506306.56
630,265.67,10.514,2793254.38
631,256.59,7.176,1841289.8399999999
632,257.27,11.875,3055081.2499999995
633,260.31,1.262,328511.22
634,249.23,9.797,2441706.31
635,234.2,8.164,1912008.7999999998
636,242.06,5.763,1394991.78
637,248.92,8.688,2162616.96
638,241.38,5.701,1376107.38
639,255.28,11.519,2940570.3200000003
640,250.28,6.524,1632826.72
641,237.57,5.146,1222535.22
642,247.64,3.272,810278.08
643,266.04,2.805,746242.2000000002
644,270.27,10.009,2705132.43
645,238.26,5.411,1289224.8599999999
646,255.47,4.146,1059178.6199999999
647,270.76,5.159,1396850.8399999999
648,258.49,6.191,1600311.59
649,246.03,1.43,351822.9
650,247.58,1.539,381025.62
651,238.09,3.461,824029.49
652,263.24,2.362,621772.8800000001
653,247.14,11.651,2879428.14
654,272.18,4.339,1180989.0200000003
655,241.53,8.561,2067738.33
656,208.13,8.913,1855062.69
657,253.19,5.562,1408242.78
658,257.94,5.358,1382042.52
659,224.91,7.498,1686375.18
660,238.33,11.863,2827308.79
661,253.1,9.68,2450008.0
662,252.63,5.531,1397296.5299999998
663,237.19,10.672,2531291.68
664,257.13,5.078,1305706.14
665,263.72,5.429,1431735.8800000001
666,233.37,8.868,2069525.1600000001
667,214.61,6.016,1291093.76
668,246.98,5.845,1443598.0999999999
669,262.03,13.614,3567276.4199999995
670,238.45,5.649,1347004.05
671,229.8,4.655,1069719.0
672,257.87,9.329,2405669.2300000004
673,254.17,5.748,1460969.16
674,232.0,10.844,2515808.0
675,250.04,8.882,2220855.28
676,225.75,1.349,304536.75
677,254.23,13.865,3524898.9499999997
678,255.06,6.184,1577291.04
679,210.58,7.162,1508173.96
680,250.5,6.131,1535815.5000000002
681,259.41,11.543,2994369.6300000004
682,244.92,7.198,1762934.16
683,241.32,2.188,528008.16
684,240.99,12.144,2926582.56
685,261.33,9.33,2438208.9
686,266.48,13.196,3516470.08
687,233.22,6.2,1445964.0
688,261.74,6.532,1709685.68
689,237.93,4.219,1003826.6700000002
690,246.0,7.152,1759392.0
691,271.61,4.299,1167651.3900000001
692,248.64,11.914,2962296.9599999995
693,276.58,5.022,1388984.76
694,251.44,4.68,1176739.2
695,236.14,9.938,2346759.3200000003
696,239.69,8.318,1993741.42
697,260.82,7.959,2075866.38
698,240.02,1.919,460598.38
699,248.79,4.712,1172298.48
700,259.14,10.969,2842506.6599999997
701,234.7,6.452,1514284.4
702,202.54,12.895,2611753.3
703,233.68,3.295,769975.6
704,259.24,3.807,986926.68
705,255.31,13.845,3534766.95
706,235.77,7.535,1776526.9500000002
707,262.71,7.317,1922249.0699999998
708,243.8,5.578,1359916.4000000001
709,240.54,8.447,2031841.38
710,255.21,5.178,1321477.3800000001
711,249.17,7.908,1970436.3599999999
712,241.18,12.561,3029461.98
713,247.79,8.926,2211773.54
714,242.79,10.354,2513847.6599999997
715,253.72,4.894,1241705.68
716,223.69,10.054,2248979.2600000002
717,236.95,6.981,1654147.9499999997
718,226.88,10.331,2343897.28
719,244.25,9.865,2409526.25
720,252.94,11.517,2913109.9799999995
721,228.01,7.049,1607242.49
722,240.33,7.306,1755850.9800000002
723,241.61,6.579,1589552.1900000002
724,238.18,8.759,2086218.62
725,249.46,8.59,2142861.4000000004
726,243.62,7.114,1733112.68
727,267.02,7.788,2079551.7599999998
728,217.79,2.599,566036.21
729,236.87,3.035,718900.4500000001
730,251.81,5.079,1278942.99
731,240.06,5.289,1269677.3399999999
732,253.3,3.971,1005854.3
733,268.31,7.089,1902049.59
734,240.37,4.693,1128056.41
735,240.21,11.243,2700681.0300000003
736,255.96,3.558,910705.68
737,221.98,5.175,1148746.5
738,225.16,5.88,1323940.7999999998
739,243.52,11.327,2758351.04
740,252.54,2.981,752821.74
741,240.91,12.506,3012820.46
742,234.33,2.242,525367.8600000001
743,252.25,3.964,999919.0
744,240.82,3.088,743652.16
745,224.63,0.328,73678.64
746,252.06,4.851,1222743.06
747,196.49,4.646,912892.54
748,254.74,10.999,2801885.2600000002
749,260.0,2.692,699920.0000000001
750,263.17,5.721,1505595.57
751,248.13,6.072,1506645.3599999999
752,256.44,4.701,1205524.44
753,247.85,6.294,1559967.9
754,244.9,9.695,2374305.5
755,225.22,2.549,574085.78
756,246.0,7.452,1833192.0
757,256.73,1.948,500110.04000000004
758,235.18,4.549,1069833.82
759,250.97,9.791,2457247.2700000005
760,229.83,8.285,1904141.55
761,231.73,9.036,2093912.28
762,259.83,3.967,1030745.61
763,233.8,6.059,1416594.2
764,224.23,3.106,696458.3799999999
765,232.53,4.29,997553.7000000001
766,234.78,1.228,288309.84
767,222.89,8.362,1863806.1799999997
768,260.97,7.068,1844535.9600000002
769,254.18,1.189,302220.02
770,255.24,1.481,378010.44
771,229.37,8.909,2043457.33
772,263.22,6.472,1703559.8400000003
773,234.62,1.105,259255.10000000003
774,266.75,10.741,2865161.7499999995
775,262.98,5.51,1449019.8
776,261.0,0.838,218718.0
777,242.39,4.469,1083240.91
778,241.62,6.825,1649056.5000000002
779,249.7,7.696,1921691.1999999997
780,255.25,6.086,1553451.5000000002
781,232.16,10.601,2461128.16
782,243.73,10.345,2521386.85
783,223.52,2.826,631667.5200000001
784,235.16,7.239,1702323.24
785,247.4,3.979,984404.6000000001
786,238.62,5.156,1230324.7199999997
787,250.43,3.434,859976.62
788,254.0,6.373,1618742.0
789,260.2,5.504,1432140.7999999998
790,254.09,5.557,1411978.1300000001
791,225.99,6.769,1529726.31
792,226.78,11.639,2639492.42
793,257.16,8.015,2061137.4000000006
794,220.37,8.774,1933526.38
795,249.27,8.97,2235951.9000000004
796,255.93,13.152,3365991.36
797,241.75,3.863,933880.25
798,250.64,8.6,2155504.0
799,234.57,5.677,1331653.89
800,265.83,5.405,1436811.15
801,234.5,6.537,1532926.5
802,217.12,4.127,896054.24
803,278.51,3.044,847784.4400000001
804,256.41,7.437,1906921.1700000004
805,264.53,8.768,2319399.0399999996
806,251.45,6.168,1550943.6
807,245.44,8.957,2198406.08
808,250.26,4.12,1031071.2000000001
809,237.08,8.102,1920822.1600000001
810,229.16,3.468,794726.8799999999
811,252.15,5.617,1416326.55
812,217.92,2.936,639813.1199999999
813,241.06,12.386,2985769.1599999997
814,233.96,7.141,1670708.36
815,233.31,7.676,1790887.56
816,214.72,6.701,1438838.72
817,246.29,2.793,687887.97
818,250.74,6.95,1742643.0
819,241.6,7.861,1899217.5999999999
820,236.53,7.975,1886326.75
821,258.69,9.039,2338298.91
822,240.76,4.078,981819.28
