,yield [thousands of bushels],price [$/bushel],total,expected_income_options
230,205.6,1.566,321969.60000000003,1438371.4601
231,235.36,5.66,1332137.6,1342989.6601000002
232,235.6,5.703,1343626.8,1344352.3601
233,254.42,8.748,2225666.1599999997,1976248.2201000003
234,250.65,5.996,1502897.4000000001,1434621.4601000003
235,241.51,1.81,437133.10000000003,1486508.1601
236,271.13,5.694,1543814.22,1546659.2801
237,261.7,7.226,1891044.1999999997,1646558.2600999998
238,250.02,8.703,2175924.06,1926506.1201000004
239,257.06,5.684,1461129.04,1466329.1001000002
240,239.58,8.998,2155740.84,1906322.9001000002
241,230.41,5.676,1307807.1600000001,1314891.2201000003
242,243.29,9.051,2202017.79,1952599.8501000006
243,234.14,7.724,1808497.3599999999,1559079.4201
244,253.24,4.884,1236824.1600000001,1441771.4201000002
245,262.4,5.336,1400166.4000000001,1489550.8601000002
246,249.81,8.754,2186836.7399999998,1937418.8001000003
247,246.17,6.897,1697834.49,1471846.8501000002
248,253.33,8.214,2080852.62,1831434.6801000002
249,247.36,10.62,2626963.2,2377545.2601000005
250,232.97,7.94,1849781.8,1600363.8601000002
251,257.32,6.053,1557557.96,1477618.1201
252,241.74,8.192,1980334.08,1730916.1401000002
253,267.71,5.205,1393430.5499999998,1515447.1101
254,243.17,8.237,2002991.29,1753573.3501000002
255,244.29,7.492,1830220.68,1580946.7401
256,259.17,4.233,1097066.61,1480843.5701
257,242.26,8.022,1943409.72,1693991.7801
258,253.79,7.667,1945807.93,1696389.9901
259,257.1,8.487,2182007.7,1932589.7601000008
260,233.55,3.972,927660.6000000001,1383134.2601000003
261,229.43,7.522,1725772.4600000002,1476354.5201000003
262,253.13,5.819,1472963.47,1446371.0301
263,245.56,4.469,1097407.6400000001,1416355.4001000004
264,240.22,6.691,1607312.0199999998,1410184.9801
265,220.57,7.052,1555459.64,1314105.7001
266,263.29,4.623,1217189.6700000002,1493833.6301
267,269.51,9.142,2463860.42,2214442.4801000003
268,254.86,4.109,1047219.74,1465059.5001000003
269,250.24,6.83,1709139.2000000002,1492538.2601000003
270,252.11,5.834,1470809.74,1440684.8001
271,230.74,5.266,1215076.8399999999,1321898.3000999999
272,200.72,6.945,1394000.4000000001,1161287.9601000003
273,225.57,10.174,2294949.1799999997,2045531.2401000003
274,250.74,5.797,1453539.78,1432128.3401000004
275,259.22,7.076,1834240.72,1592454.7801
276,241.43,9.927,2396675.61,2147257.6701
277,220.49,5.807,1280385.43,1256618.9900999998
278,240.96,4.626,1114680.9600000002,1390500.8201000001
279,278.2,3.065,852683.0,1557309.5601
280,248.63,5.737,1426390.31,1419108.8701000004
281,246.79,5.53,1364748.7000000002,1406215.7601000003
282,265.84,8.305,2207801.1999999997,1958383.2601000003
283,232.37,8.834,2052756.5799999998,1803338.6401
284,263.71,3.799,1001834.2899999999,1504831.0501
285,218.82,4.801,1050554.82,1278302.1801
286,250.41,7.883,1973982.0299999998,1724564.0901
287,251.13,4.987,1252385.3099999998,1429038.4701000003
288,249.8,7.531,1881243.8,1631825.8601000002
289,259.38,7.909,2051436.42,1802018.4801
290,250.55,5.537,1387295.35,1427113.9101000004
291,249.54,4.565,1139150.1,1431726.6601000002
292,237.87,4.165,990728.55,1393185.1101000002
293,253.02,5.657,1431334.1400000001,1442892.7001000005
294,231.79,4.14,959610.5999999999,1368934.6601
295,231.22,7.447,1721895.34,1473431.4001000002
296,249.21,5.498,1370156.58,1419186.8401
297,257.82,6.147,1584819.54,1485863.5001000003
298,252.95,9.861,2494339.95,2244922.0101000005
299,261.84,3.751,982161.8399999999,1498344.2001000002
300,223.13,4.524,1009440.12,1313279.3801
301,261.05,8.033,2097014.6500000001,1847596.7101000003
302,222.64,1.561,347541.04,1465316.4001
303,251.79,7.311,1840836.69,1594820.7501
304,255.08,7.51,1915650.8,1666232.8601000002
305,233.78,2.2,514316.00000000006,1456558.0601000001
306,241.69,4.007,968451.8299999998,1414310.9901000003
307,257.26,5.397,1388432.22,1462621.5801000004
308,230.92,7.299,1685485.0799999998,1439685.1401
309,229.64,7.988,1834364.3199999998,1584946.3801
310,246.72,7.313,1804263.3599999999,1558211.4201
311,225.2,5.955,1341066.0,1282445.5601000001
312,253.2,6.202,1570346.4,1460263.8601000002
313,224.13,4.589,1028532.5700000001,1314516.3301000001
314,227.23,10.042,2281843.66,2032425.7201000007
315,255.01,6.838,1743758.38,1526036.6401
316,218.01,6.504,1417937.0399999998,1247008.7001
317,211.78,4.537,960845.86,1261114.0201
318,243.89,8.712,2124769.6799999997,1875351.7401
319,238.71,8.42,2009938.2,1760520.2601
320,227.89,9.763,2224890.07,1975472.1301000004
321,262.43,7.614,1998142.02,1748724.0801000001
322,239.63,4.247,1017708.6099999999,1397639.7701000003
323,208.41,6.812,1419688.9200000002,1205609.7801000003
324,238.89,4.219,1007876.91,1395499.6701
325,235.32,6.025,1417803.0,1343527.5601000001
326,254.38,6.0,1526280.0,1457062.0601000001
327,244.3,5.826,1423291.8,1395050.8601000004
328,250.26,10.078,2522120.28,2272702.3401
329,228.21,4.693,1070989.53,1328404.4900999998
330,253.23,8.052,2039007.96,1789590.0201
331,249.01,4.904,1221145.0399999998,1420598.3001
332,242.11,6.256,1514640.1600000001,1393633.4201000002
333,253.44,6.306,1598192.64,1467070.9001
334,269.15,6.581,1771276.15,1589560.1101
335,235.53,2.174,512042.22000000003,1461426.4801
336,263.18,8.529,2244662.22,1995244.2801000008
337,245.45,5.71,1401519.4999999998,1400596.5601
338,259.04,4.964,1285874.5600000003,1468845.8201000004
339,240.5,3.318,797979.0,1433106.4600999998
340,250.2,6.535,1635057.0,1459785.5601000001
341,255.47,7.168,1831208.96,1587767.0201
342,248.61,6.523,1621683.03,1448092.7901
343,247.86,9.317,2309311.62,2059893.6801000007
344,218.39,4.324,944318.3599999999,1303097.6201
345,236.09,7.601,1794520.09,1545102.1501000002
346,268.43,5.244,1407646.92,1519948.5801000001
347,229.91,2.853,655933.23,1418796.1901
348,243.25,4.846,1178789.5,1394175.3601
349,244.55,5.455,1334020.25,1393761.8101000001
350,245.38,5.711,1401365.18,1400206.7401
351,245.06,9.766,2393255.96,2143838.0201000003
352,235.99,7.39,1743966.1,1496528.1601000002
353,228.09,6.855,1563556.9500000002,1343453.5101000003
354,256.27,4.907,1257516.89,1456146.0501000003
355,235.58,6.165,1452350.7000000002,1349753.2601000003
356,256.82,8.528,2190160.96,1940743.0201000005
357,262.7,7.571,1988901.7,1739483.7601
358,270.99,3.357,909713.4300000002,1534127.5901000004
359,233.7,8.402,1963547.3999999997,1714129.4600999998
360,219.29,5.092,1116624.68,1266789.5401000003
361,225.28,7.53,1696358.4000000001,1446940.4601000003
362,246.54,6.103,1504633.6199999999,1414578.7800999999
363,216.09,5.433,1174016.97,1239238.7300999998
364,253.57,5.953,1509502.2100000002,1451352.7701
365,253.82,6.005,1524189.0999999999,1453959.6601
366,225.19,4.267,960885.7300000001,1335322.8901000002
367,239.02,6.844,1635852.8800000001,1417290.5401
368,260.27,8.021,2087625.67,1838207.7301
369,261.99,5.542,1451948.58,1490589.6401000004
370,251.7,6.391,1608614.7,1460297.4601
371,274.34,7.576,2078399.8399999996,1828981.9000999997
372,227.04,5.175,1174932.0,1304421.5601000001
373,235.67,6.241,1470816.4699999997,1352844.2301
374,212.36,8.104,1720965.44,1471547.5001
375,258.19,5.387,1390869.53,1467549.8901000004
376,248.99,7.259,1807418.4100000001,1562338.4701000003
377,260.76,8.061,2101986.36,1852568.4201
378,255.8,2.145,548691.0,1506041.5601000001
379,255.95,8.46,2165337.0,1915919.0601000004
380,251.94,7.124,1794820.5599999998,1552170.6201
381,248.26,8.037,1995265.62,1745847.6801000002
382,248.95,8.743,2176569.8499999996,1927151.9101
383,227.47,2.277,517949.19000000006,1439039.3501000002
384,267.58,6.52,1744621.5999999996,1571451.6600999997
385,246.7,4.825,1190327.5,1411482.0601000001
386,239.19,7.512,1796795.2799999998,1547377.3401
387,223.29,7.21,1609920.9,1365722.9601
388,252.53,7.058,1782356.74,1540894.8001
389,231.24,5.396,1247771.04,1322209.5001
390,268.85,7.56,2032506.0,1783088.0601000001
391,253.84,4.511,1145072.24,1452482.6001
392,224.59,7.209,1619069.3099999998,1374889.3701
393,257.42,6.115,1574123.3000000003,1481640.8601000004
394,244.12,3.342,815849.04,1444383.7001000002
395,257.99,3.183,821182.1699999999,1493394.1301
396,244.62,7.371,1803094.0200000003,1555998.0801000004
397,250.55,3.247,813535.85,1468167.0101
398,254.25,8.465,2152226.25,1902808.3101000004
399,223.97,7.108,1591978.76,1349616.8201000001
400,246.22,7.919,1949816.1799999997,1700398.2400999998
401,252.91,6.8,1719788.0,1507390.0601000001
402,249.66,4.228,1055562.4799999997,1440712.9400999995
403,225.39,5.105,1150615.9500000002,1297542.5101000003
404,265.58,9.248,2456083.84,2206665.9001
405,245.69,4.234,1040251.46,1423753.7201000003
406,261.62,5.026,1314902.1199999999,1481507.5801000001
407,260.66,6.001,1564220.6600000001,1494800.4201000002
408,251.29,5.978,1502211.6199999999,1438174.6800999998
409,240.86,6.018,1449495.48,1376636.1401
410,210.2,9.654,2029270.7999999998,1779852.8601
411,238.31,6.137,1462508.47,1365575.4301000002
412,225.46,9.395,2118196.7,1868778.7601000005
413,257.43,3.975,1023284.25,1477933.8101000001
414,257.39,6.47,1665313.2999999998,1501014.3601
415,246.85,7.615,1879762.75,1630344.8101000001
416,204.29,7.74,1581204.6,1331786.6601000002
417,253.15,7.361,1863437.15,1616521.2101
418,269.84,6.597,1780134.48,1596176.8401000001
419,249.32,8.569,2136423.08,1887005.1401000004
420,262.85,7.59,1995031.5,1745613.5601000001
421,246.03,3.757,924334.7100000001,1438868.8701000002
422,244.49,6.768,1654708.32,1446793.5801000001
423,259.0,6.169,1597771.0,1494364.3601000002
424,240.51,5.386,1295386.86,1372316.3201000001
425,235.2,6.125,1440600.0,1346094.5601000001
426,237.17,8.061,1911827.3699999999,1662409.4301
427,237.99,9.246,2200455.5400000005,1951037.600100001
428,222.38,4.395,977360.0999999999,1316635.6601
429,244.99,7.332,1796266.68,1549872.7401
430,234.96,7.477,1756795.92,1507791.9801
431,261.57,7.235,1892458.95,1647811.0101
432,254.82,5.205,1326338.0999999999,1448354.6601
433,229.57,7.452,1710755.64,1462201.7001
434,262.17,7.335,1923016.9500000002,1676569.0101000003
435,226.19,4.252,961759.88,1340317.5401
436,248.47,6.958,1728854.26,1494320.5201
437,249.82,3.89,971799.8,1449798.8601000002
438,217.77,7.295,1588632.1500000001,1342904.2101000003
439,219.29,8.036,1762214.4399999997,1512796.5000999998
440,255.29,7.167,1829663.43,1586239.4901
441,236.12,7.099,1676215.88,1434015.9401
442,234.09,5.941,1390728.69,1335405.2501
443,248.3,6.864,1704331.2000000002,1482966.8601000004
444,248.79,4.725,1175532.7499999998,1424157.3101
445,219.5,9.687,2126296.5,1876878.5601000004
446,234.04,7.319,1712938.76,1466778.8201000001
447,253.69,6.355,1612199.9500000002,1471165.5101000003
448,247.32,8.721,2156877.7199999997,1907459.7801
449,247.52,6.065,1501208.8,1418841.3601000002
450,217.98,7.383,1609346.3399999999,1362034.4001
451,248.39,5.721,1421039.19,1417525.7501
452,247.92,6.289,1559168.88,1431486.2401
453,218.53,4.536,991252.0799999998,1291794.9401
454,204.37,6.822,1394212.1400000001,1178732.0001000003
455,230.92,5.04,1163836.8,1326954.8601000002
456,219.0,6.463,1415397.0,1252514.1601
457,263.58,5.81,1531399.7999999998,1506926.8601
458,248.64,6.774,1684287.3599999999,1475532.0201
459,241.76,4.96,1199129.6,1383199.6601000002
460,250.9,8.632,2165768.8,1916350.8601000002
461,243.1,7.158,1740109.8,1496847.8601000002
462,260.96,8.024,2093943.0399999996,1844525.1000999997
463,247.17,4.895,1209897.1499999997,1411822.7100999998
464,226.99,6.858,1556697.42,1336173.6801
465,261.12,10.169,2655329.2800000003,2405911.3401000006
466,256.09,7.841,2008001.6899999997,1758583.7500999998
467,244.5,3.442,841569.0000000001,1442633.6601000002
468,245.96,7.562,1859949.52,1610531.5801000001
469,230.65,5.627,1297867.55,1316491.1101000004
470,260.67,6.12,1595300.4000000001,1501806.4601000003
471,239.26,9.297,2224400.22,1974982.2801000008
472,241.44,5.555,1341199.2,1376778.7601
473,242.22,4.605,1115423.1,1397011.6601000002
474,227.42,5.524,1256268.0799999998,1299148.1401
475,229.12,8.248,1889781.7599999998,1640363.8201
476,217.93,8.449,1841290.57,1591872.6301000002
477,233.86,7.26,1697823.5999999999,1452725.6601
478,232.21,4.304,999431.8400000001,1363705.1001000002
479,227.35,6.575,1494826.25,1313950.8101000001
480,242.5,5.643,1368427.5,1383283.0601
481,230.25,8.821,2031035.25,1781617.3101000001
482,242.48,5.256,1274474.88,1383787.3401
483,250.65,5.933,1487106.45,1433667.0100999998
484,233.82,6.316,1476807.1199999999,1343662.3801
485,233.59,6.456,1508057.04,1346590.3001
486,249.9,5.116,1278488.4,1422674.8601000002
487,250.82,7.96,1996527.2,1747109.2601
488,262.4,5.872,1540812.7999999998,1501738.8601000002
489,224.76,5.992,1346761.92,1279427.9801000003
490,267.22,6.184,1652488.4800000002,1546047.3401000004
491,240.44,8.629,2074756.7599999998,1825338.8201
492,250.25,6.701,1676925.25,1478397.2101000003
493,234.84,5.51,1293968.4,1340145.4601
494,252.85,8.658,2189175.3,1939757.3601000004
495,253.61,9.4,2383934.0,2134516.0601000004
496,222.4,5.296,1177830.4000000001,1277178.8601000002
497,218.39,9.657,2108992.23,1859574.2901000003
498,250.91,3.054,766279.14,1473927.4001000002
499,228.75,7.54,1724775.0,1475357.0601000001
500,225.95,7.355,1661862.25,1415054.3101000001
501,252.62,3.657,923831.3400000001,1465835.5001000003
502,242.25,6.909,1673705.25,1446036.4101000002
503,231.03,7.414,1712856.42,1464986.4801
504,264.26,5.723,1512359.98,1508375.5400999999
505,256.56,1.72,441283.2,1515381.2601
506,250.9,5.308,1331777.2,1428136.4600999998
507,232.38,5.141,1194665.58,1332624.5401
508,238.39,5.875,1400541.25,1360760.8101000001
509,235.98,8.076,1905774.48,1656356.5401
510,250.76,6.601,1655266.76,1470748.7201
511,225.54,6.131,1382785.74,1287066.5001
512,224.31,5.917,1327242.27,1277570.8301000004
513,228.33,8.574,1957701.4200000002,1708283.4801000003
514,248.72,6.074,1510725.2799999998,1426537.1401
515,253.37,6.041,1530608.1700000002,1453095.9301000002
516,257.0,1.891,485987.0,1513111.3601
517,268.84,6.755,1816014.2,1609920.7601
518,233.36,6.247,1457799.9200000002,1338613.8801000004
519,225.11,4.968,1118346.4800000002,1300218.9401
520,244.43,6.858,1676300.94,1455777.2001
521,247.15,5.18,1280236.9999999998,1408481.0601
522,238.66,5.858,1398070.2799999998,1362293.3400999997
523,247.49,6.741,1668330.0899999999,1464198.0501
524,237.12,4.559,1081030.08,1375254.8401000004
525,228.41,6.723,1535600.43,1333990.1901
526,253.4,2.947,746769.8,1483810.9601000003
527,246.66,2.79,688181.4,1468350.4601
528,235.34,2.323,546694.8200000001,1455148.7800999999
529,217.46,7.76,1687489.6,1438071.6601000002
530,235.25,7.902,1858945.5,1609527.5601000001
531,243.97,5.823,1420637.31,1393102.8701
532,253.79,7.437,1887436.23,1639152.2901
533,248.81,6.917,1721018.77,1492229.1301000002
534,240.42,4.368,1050154.56,1396847.0200999998
535,226.96,7.127,1617543.9200000002,1374839.9801000003
536,230.4,3.466,798566.4,1393038.2600999998
537,256.73,6.658,1709308.3400000003,1516804.6001000004
538,237.08,4.218,1000003.4400000001,1387900.9001
539,251.66,5.207,1310393.62,1431911.9801000005
540,214.56,5.115,1097474.4000000001,1241909.9601000003
541,251.32,7.228,1816540.9599999997,1572019.0200999998
542,252.4,8.942,2256960.8000000003,2007542.8601000009
543,251.25,7.455,1873068.75,1624460.8101000001
544,229.84,8.558,1966970.72,1717552.7801
545,222.41,7.071,1572661.11,1330965.1701000002
546,242.82,5.223,1268248.8599999999,1385781.6200999997
547,259.25,2.832,734195.9999999999,1502827.6601
548,252.52,6.875,1736075.0,1513169.5601000001
549,251.67,3.583,901733.61,1464065.5701
