,yield [thousands of bushels],price [$/bushel],total,expected_income_options
102,231.2,8.783,2030629.5999999999,1378332.9279
103,267.25,10.605,2834186.25,1532701.7679
104,255.51,4.32,1103803.2,1565770.7478999998
105,228.06,9.535,2174552.1,1939543.4779000005
106,270.69,7.316,1980368.0399999998,1656483.3279
107,236.45,4.624,1093344.7999999998,1400253.2179
108,248.95,7.576,1886045.1999999997,1468617.0679
109,270.8,3.853,1043392.4000000001,1661317.4678999998
110,236.06,5.576,1316270.5599999998,1285581.9279
111,257.08,5.385,1384375.7999999998,1490375.4379
112,232.11,9.953,2310190.83,1342400.2779
113,242.68,6.662,1616734.16,1337400.6879
114,248.97,4.556,1134307.32,2359101.3679
115,244.36,8.417,2056778.1199999999,2114274.4479
116,214.37,5.364,1149880.68,1273067.2779
117,243.71,4.588,1118141.48,1653369.3379000002
118,247.5,10.132,2507670.0,2006207.2679000006
119,226.22,5.206,1177701.32,1370327.3779
120,258.03,9.25,2386777.4999999995,1985126.7679
121,263.15,5.042,1326802.2999999998,1515128.9079000002
122,245.1,8.483,2079183.3,1412466.2878999999
123,233.19,6.471,1508972.4900000002,1282120.5079
124,248.55,11.563,2873983.65,1572495.5279000003
125,251.25,2.017,506771.24999999994,1572256.3979000002
126,240.6,5.809,1397645.4000000001,1349765.1279000004
127,271.31,6.688,1814521.28,1522561.7278999998
128,247.21,9.591,2370991.11,1384382.3779
129,269.9,2.942,794045.7999999999,1497545.5678999994
130,244.14,8.341,2036371.7399999998,1352671.7879000003
131,258.07,7.634,1970106.38,1427143.6479000002
132,242.75,8.822,2141540.4999999995,1338733.4079
133,240.91,7.961,1917884.51,1328865.8279
134,258.37,8.129,2100289.73,2293646.5279
135,255.77,6.319,1616210.6300000001,1545092.6179000002
136,254.0,3.688,936752.0000000001,1473251.4779
137,219.13,1.414,309849.81999999995,1645442.4679
138,244.77,1.232,301556.64,1372454.8679000002
139,255.47,7.695,1965841.6500000001,1392288.2679000006
140,258.71,0.807,208778.97,1441006.4279
141,229.03,10.524,2410311.7199999997,1342703.6279
142,234.98,7.113,1671412.74,1361682.6779
143,231.7,13.511,3130498.6999999997,2104786.5379000003
144,241.78,9.822,2374763.16,1349820.3279000004
145,253.96,5.706,1449095.7600000002,1492351.4978999998
146,261.94,7.222,1891730.6800000002,1526777.9679000003
147,252.48,7.534,1902184.3199999998,1392581.4879
148,253.06,6.378,1614016.68,1448238.1279
149,264.85,0.687,181951.95000000004,1789516.9478999998
150,263.2,8.378,2205089.5999999996,1664997.6779
151,230.41,7.857,1810331.37,1315475.3279000001
152,252.22,6.111,1541316.42,1393147.0479
153,253.53,5.414,1372611.42,1420164.3778999997
154,262.32,6.543,1716359.76,1455287.1279
155,243.23,8.598,2091291.5400000003,1582655.1479
156,257.54,12.2,3141988.0000000005,2002770.8179000004
157,242.79,6.336,1538317.44,1786336.9079000002
158,249.04,7.297,1817244.88,1391751.6479
159,268.26,5.172,1387440.7199999997,1475964.1279000002
160,227.63,1.824,415197.12,1676667.3978999997
161,228.61,4.275,977307.7500000001,1351865.1079
162,233.13,8.618,2009114.34,1941478.8679000002
163,249.63,6.599,1647308.3699999999,1411039.0479000001
164,266.72,7.751,2067346.7200000004,2820451.5679000006
165,243.26,4.0,973040.0,1554462.3779000002
166,263.87,4.36,1150473.2000000002,1742139.8879
167,247.73,2.305,571017.65,1364351.2878999996
168,252.85,3.719,940349.1499999999,1398006.5979
169,260.67,9.523,2482360.41,1470857.2279
170,261.73,5.05,1321736.5,1588126.9279
171,208.66,8.468,1766932.8800000001,1293737.1079
172,220.76,2.65,585014.0,1404192.9779000003
173,221.33,2.728,603788.2400000001,1322889.3879000004
174,241.44,10.659,2573508.96,2007795.0079000003
175,247.94,5.547,1375323.18,1409371.2379000003
176,213.35,3.506,748005.1,1394654.8679000004
177,209.73,5.062,1061653.26,1663907.6179
178,231.27,7.473,1728280.71,1347323.4379000003
179,244.67,7.329,1793186.4299999997,1917062.8279000001
180,241.54,11.149,2692929.46,1355277.2279
181,240.48,4.724,1136027.52,1330547.3679
182,240.3,5.357,1287287.1,1416836.0479000001
183,255.3,9.325,2380672.5,2285166.5278999996
184,247.82,4.059,1005901.38,1800312.5279000003
185,240.18,10.565,2537501.6999999997,1540734.9679000003
186,238.1,8.92,2123852.0,1675977.0078999999
187,249.11,10.123,2521740.5300000003,1477475.4079
188,254.94,7.438,1896243.72,1434796.9279
189,206.09,8.327,1716111.43,1210859.3879
190,239.7,3.52,843743.9999999999,2247599.6078999997
191,255.88,7.021,1796533.48,1780684.6079
192,242.61,9.217,2236136.37,1427725.2779000003
193,227.15,4.733,1075100.95,1366082.0679
194,263.5,5.287,1393124.5,1497586.1979000003
195,234.48,4.729,1108855.92,1360219.5879
196,257.95,7.774,2005303.2999999998,1432461.5278999996
197,240.73,5.149,1239518.77,1317475.3479000004
198,236.56,8.884,2101599.04,1536238.7279000003
199,254.99,4.242,1081667.58,1537774.1379000002
200,233.32,4.794,1118536.0799999998,1348151.3279000001
201,217.27,4.975,1080918.25,1332654.9679
202,271.08,5.221,1415308.68,1680387.2478999998
203,254.96,7.122,1815825.1199999999,1836029.9679
204,231.03,3.327,768636.8099999999,1381425.3879
205,256.25,4.633,1187206.25,1426868.9278999998
206,258.97,3.307,856413.79,1419377.1679000002
207,243.74,10.887,2653597.3800000004,1361942.0579000001
208,258.28,8.363,2159995.6399999997,1571514.0078999999
209,236.33,6.65,1571594.5000000002,1301379.7678999999
210,258.69,12.047,3116438.43,1449198.6079
211,261.77,6.446,1687369.4199999997,1651900.3279000001
212,224.87,0.753,169327.11000000002,1538867.2278999998
213,257.03,4.083,1049453.4899999998,2019981.9379
214,252.94,3.686,932336.84,1806791.9779000003
215,262.57,4.268,1120648.7599999998,1456777.9278999998
216,263.85,1.225,323216.25000000006,1774577.0079
217,239.17,5.907,1412777.19,1328864.9878999996
218,261.1,5.351,1397146.1,1508089.7778999999
219,253.7,3.067,778097.9,1502444.4479000003
220,261.43,8.489,2219279.2700000005,1442240.9279000002
221,249.56,5.474,1366091.4400000002,1383700.9178999998
222,244.15,10.587,2584816.05,1357271.4279
223,264.34,1.859,491408.06,1687856.7679
224,245.19,11.45,2807425.5,1595273.5179
225,244.43,1.836,448773.48,1346232.7479
226,253.77,12.39,3144210.3000000003,1889955.8179000004
227,255.84,1.736,444138.24,2109643.9279
228,257.11,5.427,1395335.97,1755844.4479000003
229,222.0,7.664,1701408.0,1217817.4478999998
230,206.26,9.191,1895735.6600000001,1150645.6279
231,235.18,4.929,1159202.2200000002,1351833.4479
232,235.98,1.665,392906.7,1422447.8779
233,253.99,9.649,2450749.51,1706926.1279000002
234,252.77,3.107,785356.39,1382317.7678999996
235,240.51,3.698,889405.98,1390498.0179
236,271.6,4.829,1311556.4,1877710.6279
237,262.21,4.476,1173651.96,1459239.3179
238,251.25,6.428,1615035.0,1717455.0378999999
239,257.19,2.643,679753.1699999999,1465192.0279
240,239.17,2.256,539567.5199999999,1975603.8979
241,227.24,5.254,1193918.96,1765156.1279000002
242,243.6,13.894,3384578.4,1869583.2779000003
243,234.02,2.89,676317.8,2286590.3279
244,254.23,1.901,483291.23,1411324.2679000006
245,261.79,5.051,1322301.29,1536991.7279000003
246,251.46,5.143,1293258.7799999998,1440770.8478999997
247,245.59,6.897,1693834.2300000002,1362274.2279
248,252.63,3.977,1004709.5099999999,2305316.5079
249,246.96,10.267,2535538.3200000003,1445497.6879000003
250,235.97,2.879,679357.63,1571389.5078999999
251,256.98,7.395,1900367.0999999999,1464231.6779000002
252,242.47,10.966,2658926.02,1894936.0779000006
253,265.55,2.79,740884.5,1945850.9279000002
254,241.51,10.626,2566285.26,2045442.0279000003
255,243.34,10.235,2490584.9,1614680.0779
256,259.35,0.929,240936.15000000002,1442392.6079
257,242.64,7.302,1771757.2799999998,1700635.9879
258,253.97,12.928,3283324.16,1667114.5279
259,257.37,8.217,2114809.29,1406153.4479000003
260,233.36,2.855,666242.8,1283049.3279000001
261,228.54,7.258,1658743.32,1383090.5879000002
262,253.37,4.153,1052245.6099999999,1400400.9579
263,245.77,3.484,856262.68,1370265.0479000004
264,240.14,9.054,2174227.5599999996,1319946.9279
265,222.01,8.711,1933929.11,1214189.6679
266,262.7,5.155,1354218.5,1454926.9279
267,270.97,14.422,3907929.340000001,2087801.1079000002
268,254.34,3.072,781332.48,1548203.8879000002
269,251.47,4.986,1253829.42,1959249.3679000002
270,252.38,6.737,1700284.06,1391574.3579
271,231.17,3.811,880988.8699999999,1459284.3279000001
272,200.9,2.719,546247.1,1195168.8879000002
273,225.25,4.098,923074.5,2207893.0279
274,250.66,1.898,475752.68,1415593.2478999996
275,258.83,5.8,1501214.0,1452258.2179
276,241.77,13.459,3253982.43,1327256.4278999998
277,221.95,5.284,1172783.7999999998,1208316.3179
278,240.98,6.741,1624446.18,1404477.5479
279,278.4,6.619,1842729.5999999999,1540124.8079000004
280,248.75,10.928,2718340.0,1483071.8679
281,247.29,9.572,2367059.88,1390186.4779000003
282,265.03,7.166,1899204.98,1652389.1779
283,234.21,5.47,1281128.7,1464625.4878999998
284,264.76,9.677,2562082.52,1446753.5678999994
285,218.49,6.848,1496219.52,1221380.8478999997
286,249.94,13.359,3338948.46,1630513.8078999997
287,250.16,5.418,1355366.8800000001,1392989.9279
288,251.61,5.012,1261069.32,1998809.8779000004
289,258.71,11.778,3047086.38,1898291.8879000002
290,250.26,6.983,1747565.5799999998,1629314.9479
291,251.77,6.0,1510620.0000000002,1420429.9078999998
292,237.85,8.331,1981528.3499999999,1324380.2279000003
293,254.11,4.489,1140699.79,1406115.3178999994
294,230.95,5.304,1224958.8,1950174.3279000001
295,231.77,6.441,1492830.57,1693867.6279
296,248.78,6.304,1568309.12,1538812.4279000002
297,257.94,3.554,916718.76,1430956.0079
298,253.87,5.828,1479554.36,1903806.7879000006
299,260.14,6.4,1664896.0,1474431.6579
300,220.99,7.411,1637756.89,1241749.6279
301,260.96,0.801,209028.96,2125048.0679
302,224.54,6.325,1420215.5,1430722.7279
303,253.14,7.737,1958544.18,2121256.1478999997
304,255.65,5.966,1525207.9000000001,1409831.4079
305,233.57,13.234,3091065.38,1339945.2078999998
306,241.89,8.246,1994624.94,1596520.0479
307,256.3,5.104,1308155.2000000002,1420566.8479
308,230.16,8.431,1940478.9599999997,2152910.0078999996
309,230.06,7.552,1737413.1199999999,2185912.5979000004
310,246.62,3.321,819025.02,1356722.8779000002
311,223.98,4.738,1061217.24,1522708.4279
312,253.8,3.393,861143.4,1444410.6878999998
313,223.02,6.947,1549319.9400000002,1707398.9779
314,226.86,10.679,2422637.94,1606759.1778999998
315,255.89,9.445,2416881.05,1525020.2179
316,218.58,9.272,2026673.7600000002,1316737.7679
317,213.22,2.639,562687.58,1194821.3978999995
318,244.88,3.81,932992.8,1724881.5679
319,239.2,11.247,2690282.4,1793651.6279
320,228.41,7.184,1640897.44,1451684.7679
321,262.82,9.187,2414527.34,1995820.3879000002
322,238.78,7.043,1681727.54,2282489.5679
323,207.89,11.286,2346246.5399999996,1202426.9279
324,240.4,5.447,1309458.8,1337317.2279000003
325,236.02,9.851,2325033.0200000005,1300239.1479000002
326,255.03,3.524,898725.72,1398561.8079
327,243.43,8.645,2104452.35,1346779.3678999997
328,250.28,3.968,993111.04,1758256.8679000002
329,227.62,0.844,192111.28,1364714.4479
330,253.01,7.19,1819141.9000000001,2101747.3279
331,248.29,10.811,2684263.19,1371636.3279000004
332,241.0,5.621,1354661.0,1763465.5779
333,252.47,0.789,199198.83000000002,1550799.8779
334,267.97,8.263,2214236.1100000003,1609247.5579000001
335,237.1,5.982,1418332.2,1393328.2079000003
336,262.67,5.844,1535043.4800000002,1702460.0179000003
337,245.04,6.27,1536400.7999999998,1349201.0079000003
338,258.7,5.45,1409915.0,1733058.9979
339,240.29,5.584,1341779.3599999999,1412780.9778999998
340,249.86,7.676,1917925.36,1377548.9679
341,257.01,8.681,2231103.8099999996,1639963.8679000002
342,248.08,6.063,1504109.04,1381060.2279000005
343,246.93,5.971,1474419.03,1378108.6479
344,217.91,7.209,1570913.19,1282325.0879000002
345,236.16,0.737,174049.91999999998,1304861.0879000004
346,268.36,12.843,3446547.48,1663413.3279
347,229.22,1.466,336036.52,1352012.5979000002
348,242.82,11.817,2869403.94,1601239.4379
349,244.8,3.949,966715.2,1366760.4078999995
350,245.48,6.418,1575490.64,1614308.9378999998
351,246.66,11.878,2929827.48,1470927.9679000003
352,237.85,3.283,780861.5499999999,1314487.0479000004
353,228.24,5.663,1292523.12,1387944.5279
354,256.15,2.365,605794.75,1503749.0079
355,235.46,6.621,1558980.6600000001,1894273.7878999996
356,255.58,10.9,2785822.0,2139407.5679
357,265.2,8.429,2235370.8000000003,1452984.5279
358,270.74,4.831,1307944.9400000002,1489617.0279
359,234.26,10.822,2535161.7199999997,1341360.9879
360,221.61,10.676,2365908.3600000003,1195217.9379000003
361,225.45,4.523,1019710.3499999999,1235791.4079
362,246.19,5.841,1437995.79,1355424.6779
363,214.57,8.693,1865257.0099999998,1216529.9278999998
364,253.6,10.111,2564149.6,1634161.3879
365,253.54,2.046,518742.8399999999,2262539.3179
366,226.06,3.236,731530.16,1505135.0879
367,238.96,1.191,284601.36,1435470.0179
368,260.61,11.96,3116895.6,1468432.0779
369,261.72,7.293,1908723.9600000002,1467248.8679000004
370,250.71,8.411,2108721.81,1423815.2278999996
371,274.84,2.86,786042.3999999999,1951698.4679000003
372,227.72,2.92,664942.4,1490797.0879
373,233.68,9.951,2325349.68,2158785.1879000003
374,212.81,3.489,742494.0900000001,1885110.0079000003
375,256.65,4.324,1109754.5999999999,1444896.8479000002
376,249.08,2.155,536767.3999999999,1827389.6079000002
377,261.17,6.319,1650333.2300000002,1433343.9278999998
378,255.59,4.384,1120506.56,1538839.2479000003
379,255.9,9.597,2455872.3,2910402.4279
380,252.64,6.508,1644181.1199999999,1391004.1279
381,247.32,8.942,2211535.44,1416872.2078999996
382,249.38,4.988,1243907.4400000002,1900303.4278999998
383,228.85,4.953,1133494.05,1308803.2779
384,268.27,4.604,1235115.08,1579021.0479000001
385,245.64,2.477,608450.2799999999,1366342.9079000002
386,239.73,5.762,1381324.2599999998,1346076.9778999998
387,222.88,5.738,1278885.44,1633303.9279
388,251.33,1.944,488585.52,1763890.1279
389,231.94,8.806,2042463.6399999997,1373265.0879000002
390,267.8,8.583,2298527.4,1859022.7679
391,253.22,5.133,1299778.26,1399341.4078999998
392,223.59,8.017,1792521.0299999998,1228253.4279
393,255.89,5.503,1408162.67,1694549.4878999998
394,243.59,1.018,247974.62000000002,1506457.7279000003
395,259.23,3.445,893047.3500000001,1473397.8079000004
396,243.79,11.276,2748976.04,1343477.4278999998
397,252.15,1.317,332081.55,1381439.5878999995
398,254.4,6.348,1614931.2,2371553.8578999997
399,223.13,4.874,1087535.6199999999,1321988.4879000003
400,245.39,5.321,1305720.1899999997,2047477.6079
401,253.01,7.481,1892767.8099999998,1407822.1678999995
402,248.82,4.742,1179904.44,1389849.5279000006
403,225.3,10.551,2377140.3,1264581.4278999998
404,263.38,13.706,3609886.28,1463453.9679000005
405,246.6,8.662,2136049.1999999997,1374451.4278999998
406,261.75,9.419,2465423.2500000005,1855076.9178999998
407,261.05,6.25,1631562.5,1658675.4578999998
408,252.78,7.856,1985839.68,1401233.8978999997
409,240.39,7.186,1727442.5399999998,1335766.9279
410,208.73,8.439,1761472.47,1641422.6079000002
411,237.68,2.631,625336.08,1405131.4878999996
412,225.41,5.283,1190841.03,1694523.4779000003
413,257.9,5.156,1329732.4,1419821.9379000003
414,256.73,5.906,1516247.3800000001,1503996.9678999998
415,246.06,7.826,1925665.5599999998,1384420.4279
416,204.32,10.026,2048512.3199999998,1214233.2779
417,253.7,9.224,2340128.8,1992250.2479
418,268.02,4.505,1207430.0999999999,1482890.6378999995
419,248.36,9.622,2389719.92,1460267.2479
420,262.52,8.193,2150826.3599999994,1598850.3279000001
421,245.62,3.682,904372.84,1393318.9279000002
422,243.58,5.432,1323126.56,1366476.3879000004
423,259.96,0.729,189510.83999999997,1577011.4779000003
424,243.31,6.282,1528473.42,1355813.8079000004
425,234.78,4.828,1133517.84,1383512.8679
426,238.09,9.248,2201856.32,1298191.3878999997
427,237.64,3.819,907547.1599999999,1357114.0579
428,222.24,3.685,818954.4,1297126.9279000002
429,245.84,8.061,1981716.24,1735590.7679
430,236.23,5.813,1373204.99,2161805.3279000004
431,261.29,7.689,2009058.8100000003,1445472.2378999998
432,254.83,7.791,1985380.53,1464726.6279
433,229.87,12.217,2808321.79,1394146.3679000002
434,261.58,7.039,1841261.6199999999,1897946.4579
435,226.44,4.074,922516.5599999999,1526507.3479
436,249.04,7.348,1829945.92,1421054.6079
437,249.74,6.809,1700479.6600000001,1385824.4279
438,217.77,11.82,2574041.4,1182698.9579
439,218.68,7.532,1647097.76,1266757.3279
440,256.84,7.951,2042134.8399999996,1426080.0279
441,236.43,3.843,908600.49,1627458.9878999998
442,233.62,6.223,1453817.26,1444323.9479000003
443,246.21,6.461,1590762.81,1390547.3279
444,247.98,4.776,1184352.48,1473795.8679
445,217.92,8.854,1929463.6799999997,1205662.5279000003
446,236.7,5.131,1214507.7,2117733.0079
447,251.71,9.893,2490167.0300000003,1398635.5679
448,247.43,12.174,3012212.82,1671274.5378999999
449,246.98,11.465,2831625.7,1368207.9279
450,219.02,8.755,1917520.1,1300072.4679000003
451,250.02,10.273,2568455.46,1368368.9679
452,246.56,8.612,2123374.72,1472172.4979
453,218.69,8.402,1837433.3799999997,1288464.6078999997
454,204.09,4.454,909016.86,1102849.6478999995
455,230.34,8.081,1861377.54,1283469.9278999998
456,218.68,12.597,2754711.96,1215960.9279
457,265.03,6.059,1605816.77,1504018.9479
458,247.06,7.366,1819843.96,1364728.5979000002
459,241.53,6.837,1651340.6099999999,1794480.3679
460,249.32,3.2,797824.0000000001,2517051.4479
461,242.55,7.337,1779589.3499999999,1946246.4679000003
462,264.12,5.292,1397723.04,1540836.1979
463,248.18,8.269,2052200.4200000002,1360115.5679000004
464,225.09,2.598,584783.82,1394936.9279000002
465,262.3,9.725,2550867.5,1443546.0779
466,255.12,9.093,2319806.16,1612979.5879000002
467,243.7,3.329,811277.2999999999,1483597.4079
468,246.17,0.837,206044.28999999998,1654383.6379
469,228.53,6.196,1415971.8800000001,1361260.8479000002
470,260.38,12.301,3202934.3800000004,1475350.9278999998
471,239.91,9.976,2393342.16,1346504.3679
472,241.19,7.202,1737050.38,1362709.3979
473,242.55,7.018,1702215.9,1365146.9279
474,230.4,3.805,876672.0,1365805.3279000001
475,228.83,5.095,1165888.85,2480385.9679
476,217.71,10.236,2228479.56,1600292.4079
477,232.17,12.1,2809256.9999999995,1349832.0079
478,231.44,1.396,323090.24,1418636.5378999999
479,226.43,10.445,2365061.35,1253571.8379
480,241.72,11.181,2702671.32,1358807.7278999998
481,229.12,9.779,2240564.48,1405508.9178999998
482,245.01,7.626,1868446.26,1354590.1679
483,250.58,7.794,1953020.52,1379702.3878999997
484,233.33,2.378,554858.74,1597291.2078999998
485,233.38,8.292,1935186.96,1651683.4079
486,249.7,0.956,238713.19999999998,1996376.9179000005
487,249.84,13.02,3252916.8,1526546.8679000002
488,263.14,3.042,800471.8799999999,1777819.1779
489,225.21,5.017,1129878.57,1320217.3279
490,266.59,4.981,1327884.7899999998,1647822.4078999998
491,239.36,11.056,2646364.16,1422368.5279
492,250.26,5.416,1355408.16,2339133.8479
493,234.12,12.468,2919008.1599999997,1337257.2178999998
494,253.16,12.233,3096906.2800000003,1760962.7279
495,253.55,6.21,1574545.5000000002,1510144.2479
496,222.48,6.012,1337549.7599999998,1246877.1278999995
497,218.23,14.535,3171973.0500000003,1490522.4478999998
498,250.4,2.213,554135.2000000001,1534765.3079000001
499,228.83,11.329,2592415.0700000003,1479468.8479000002
500,226.05,9.46,2138433.0000000005,1332170.6878999998
501,253.53,1.702,431508.06,1390062.5078999996
502,243.36,8.285,2016237.6,1336796.2078999996
503,229.92,9.282,2134117.44,1280258.4478999996
504,265.68,3.458,918721.4400000001,1455956.1779
505,255.92,3.2,818944.0,1500943.4079000002
506,251.19,6.531,1640521.89,1425599.5879
507,233.91,5.758,1346853.78,1352924.3379000004
508,238.89,6.128,1463917.92,1391183.9279
509,236.05,5.516,1302051.8,1645173.5178999996
510,250.67,13.861,3474536.87,2176605.8079000004
511,225.6,8.767,1977835.1999999997,1290529.1779
512,223.38,1.758,392702.04000000004,1227120.0278999999
513,229.46,8.482,1946279.72,1681348.2878999999
514,249.67,10.796,2695437.3199999994,1495416.8679
515,254.02,7.701,1956208.02,1762753.9279
516,257.83,0.687,177129.21,1421529.0879
517,268.99,6.992,1880778.08,1551980.1079
518,233.54,3.177,741956.5800000001,1384300.3279000001
519,224.79,5.2,1168908.0,1358877.4279
520,244.38,11.824,2889549.12,2116416.1779000005
521,246.73,12.319,3039466.87,1371311.0779
522,239.42,7.785,1863884.7,1574843.1778999998
523,247.37,2.437,602840.69,1658433.4278999998
524,237.3,7.518,1784021.4000000001,1340784.5279
525,230.65,7.821,1803913.65,1377880.6679000002
526,253.62,8.582,2176566.8400000003,1395390.2678999999
527,247.16,6.182,1527943.12,1413851.3279
528,234.74,3.352,786848.48,1437896.2079000003
529,216.24,9.003,1946808.72,1306740.6879000003
530,236.58,6.993,1654403.9400000002,1329508.7278999996
531,243.56,1.666,405770.96,1421370.0679000001
532,252.38,3.127,789192.2599999999,1655983.2279000003
533,250.76,5.64,1414286.4,1383823.2078999998
534,241.64,11.845,2862225.8000000003,1313665.0479000001
535,226.27,6.433,1455594.91,1289240.5279
536,230.57,10.412,2400694.8400000003,1354364.1779000002
537,257.25,2.349,604280.25,1572610.8078999997
538,238.44,5.698,1358631.12,1553922.1679000002
539,255.67,4.095,1046968.6499999998,1385866.5879000002
540,213.05,5.507,1173266.35,1387004.7079
541,251.67,3.861,971697.87,2201322.8679
542,251.71,7.254,1825904.34,1872550.3279000001
543,250.24,11.302,2828212.48,1403127.5479000001
544,230.42,3.653,841724.26,1439566.1279000002
545,220.68,8.062,1779122.16,1244799.4079000002
546,242.25,8.072,1955441.9999999998,1359091.8279
547,259.03,1.121,290372.62999999995,1431597.1578999995
548,251.99,7.997,2015164.03,1485790.1279
549,251.18,6.834,1716564.12,1388447.7779
550,256.11,9.405,2408714.5500000003,1438603.3479000002
551,231.57,10.92,2528744.4,1292165.8979
552,263.03,12.244,3220539.3199999994,1464888.3079000006
553,259.69,5.457,1417128.33,1940986.4979000005
554,224.97,2.557,575248.29,1242764.0479000004
555,247.41,8.016,1983238.56,1363591.5479000004
